INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	23	4.30516	4.48454	0.2735	0.585	0.0916396
1	24	4.48454	4.66392	0.4765	0.2645	0.070874
1	25	4.66392	4.8433	0.067	0.059625	0.0205604
1	26	4.8433	5.02269	0.017	0.229125	0.0923312
1	27	5.02269	5.20207	0.9065	0.4125	0.147938
1	28	5.20207	5.38145	0.1025	0.120375	0.0394431
1	29	5.38145	5.56083	0.529	0.24175	0.115364

1	0	0.179382	0.358763	0.2505	0.1771	0.0602099
1	1	0.358763	0.538145	0.8185	0.4972	0.0916627
1	2	0.538145	0.717527	1.4875	1.1762	0.32235
1	3	0.717527	0.896908	2.7455	2.4607	0.396432
1	4	0.896908	1.07629	5.384	4.7433	0.293198
1	5	1.07629	1.25567	6.878	5.8166	0.668424
1	6	1.25567	1.43505	6.5375	6.469	0.608884
1	7	1.43505	1.61443	6.0135	7.5213	0.382892
1	8	1.61443	1.79382	6.869	7.3446	0.447445
1	9	1.79382	1.9732	8.7165	9.3981	0.409237
1	10	1.9732	2.15258	7.9965	8.2989	0.34099
1	11	2.15258	2.33196	7.1985	8.1695	0.538353
1	12	2.33196	2.51134	6.417	7.7246	0.646306
1	13	2.51134	2.69072	6.784	6.5448	0.16014
1	14	2.69072	2.87011	8.115	6.0576	0.599731
1	15	2.87011	3.04949	3.291	5.0042	0.453667
1	16	3.04949	3.22887	3.8165	4.0304	0.10071
1	17	3.22887	3.40825	5.2555	4.0557	0.471871
1	18	3.40825	3.58763	4.5855	3.2333	0.312529
1	19	3.58763	3.76701	1.936	2.0308	0.193578
1	20	3.76701	3.9464	2.117	2.4814	0.198678
1	21	3.9464	4.12578	0.965	1.3298	0.158291
1	22	4.12578	4.30516	0.792	0.6906	0.0574975
1	23	4.30516	4.48454	0.852	0.6384	0.0874977
1	24	4.48454	4.66392	0.1855	0.2487	0.0584338
1	25	4.66392	4.8433	0.0115	0.05	0.018565
1	26	4.8433	5.02269	0.412	0.2657	0.080785
1	27	5.02269	5.20207	0.661	0.4622	0.126424
1	28	5.20207	5.38145	0.758	0.2479	0.118346
1	29	5.38145	5.56083	0.0485	0.2031	0.0985531

1	0	0.179382	0.358763	0.4355	0.220167	0.0637427
1	1	0.358763	0.538145	0.5475	0.505583	0.076768
1	2	0.538145	0.717527	2.7245	1.43425	0.357282
1	3	0.717527	0.896908	3.233	2.58942	0.350634
1	4	0.896908	1.07629	4.0525	4.62817	0.265978
1	5	1.07629	1.25567	6.325	5.90133	0.562365
1	6	1.25567	1.43505	9.1785	6.92058	0.653757
