Step	Temp
457	1.88042
458	1.88123
459	1.88206
460	1.8829
461	1.88375
462	1.88461
463	1.88548
464	1.88637
465	1.88727
466	1.88818
467	1.88911
468	1.89004
469	1.89099
470	1.89196
471	1.89293
472	1.89392
473	1.89493
474	1.89595
475	1.89698
476	1.89803
477	1.89909
478	1.90017
479	1.90126
480	1.90237
481	1.90349
482	1.90463
483	1.90579
484	1.90696
485	1.90814
486	1.90935
487	1.91057
488	1.9118
489	1.91306
490	1.91433
491	1.91562
492	1.91693
493	1.91825
494	1.91959
495	1.92095
496	1.92233
497	1.92373
498	1.92514
499	1.92658
500	1.92803
501	1.9295
502	1.93099
503	1.9325
504	1.93403
505	1.93558
506	1.93715
507	1.93874
508	1.94035
509	1.94197
510	1.94362
511	1.94528
512	1.94697
513	1.94867
514	1.95039
515	1.95214
516	1.9539
517	1.95567
518	1.95747
519	1.95929
520	1.96112
521	1.96297
522	1.96483
523	1.96671
524	1.96861
525	1.97052
526	1.97245
527	1.97439
528	1.97634
529	1.9783
530	1.98028
531	1.98226
532	1.98425
533	1.98625
534	1.98825
535	1.99026
536	1.99227
537	1.99428
538	1.99628
539	1.99828
540	2.00028
541	2.00226
542	2.00423
543	2.00619
544	2.00813
545	2.01005
546	2.01194
547	2.0138
548	2.01562
549	2.01741
550	2.01915
551	2.02085
552	2.02248
553	2.02406
554	2.02557
555	2.027
556	2.02835
557	2.02961
558	2.03077
559	2.03182
560	2.03275
561	2.03356
562	2.03422
563	2.03474
564	2.03509
565	2.03527
566	2.03525
567	2.03503
568	2.03459
569	2.03392
570	2.03299
571	2.03179
572	2.03031
573	2.02852
574	2.0264
575	2.02393
576	2.02109
577	2.01786
578	2.01422
579	2.01013
580	2.00559
581	2.00057
582	1.99503
583	1.98897
584	1.98235
585	1.97515
586	1.96735
587	1.95893
588	1.94987
589	1.94015
590	1.92975
591	1.91867
592	1.90689
593	1.89441
594	1.88122
595	1.86732
596	1.85273
597	1.83746
598	1.82152
599	1.80494
600	1.78776
601	1.77
602	1.75173
603	1.73299
604	1.71385
605	1.69438
606	1.67466
607	1.65477
608	1.63481
609	1.61487
610	1.59507
611	1.57549
612	1.55627
613	1.53751
614	1.51933
615	1.50184
616	1.48516
617	1.46939
618	1.45465
619	1.44103
620	1.42862
621	1.41752
622	1.40779
623	1.39952
624	1.39275
625	1.38754
626	1.38391
627	1.38191
628	1.38152
629	1.38277
630	1.38563
631	1.39009
632	1.39611
633	1.40364
634	1.41264
635	1.42303
636	1.43474
637	1.44768
638	1.46178
639	1.47692
640	1.49301
