T_SIGN	BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1	3.00002	3.00002	0
1	2	3.00018	3.0001	5.38336e-05
1	3	3.00049	3.00023	0.000110901
1	4	3.00096	3.00041	0.000178281
1	5	3.0016	3.00065	0.00025675
1	6	3.00245	3.00095	0.000347421
1	7	3.00349	3.00131	0.000449395
1	8	3.00476	3.00174	0.000562824
1	9	3.00627	3.00225	0.000689082
1	10	3.00805	3.00283	0.000829544
1	11	3.01015	3.00349	0.000985909
1	12	3.01262	3.00425	0.00116065
1	13	3.01553	3.00512	0.00135714
1	14	3.01897	3.00611	0.00158002
1	15	3.02308	3.00724	0.00183553
1	16	3.02803	3.00854	0.00213165
1	17	3.03407	3.01004	0.00247955
1	18	3.04155	3.01179	0.00289443
1	19	3.05094	3.01385	0.00339727
1	20	3.06294	3.01631	0.00401728
1	21	3.0785	3.01927	0.00479506
1	22	3.09899	3.02289	0.00578652
1	23	3.12623	3.02739	0.00706715
1	24	3.16257	3.03302	0.00873349
1	25	3.2103	3.04011	0.010889
1	26	3.26892	3.04891	0.013568
1	27	3.32383	3.05909	0.0164482
1	28	3.30706	3.06795	0.0180884
1	29	3.02871	3.0666	0.0175152
1	30	2.46368	3.0465	0.0260213
1	31	2.41762	3.02621	0.0321309
1	32	2.97589	3.02464	0.0311652
1	33	3.30326	3.03308	0.0313436
1	34	3.29769	3.04086	0.0313731
1	35	3.09861	3.04251	0.0305201
1	36	3.05882	3.04297	0.0296757
1	37	3.16128	3.04617	0.0290454
1	38	3.16763	3.04936	0.0284564
1	39	3.1392	3.05167	0.0278198
1	40	3.11233	3.05318	0.0271656
1	41	3.09259	3.05414	0.0265201
1	42	3.07909	3.05474	0.0258953
1	43	3.07031	3.0551	0.0252956
1	44	3.065	3.05532	0.0247217
1	45	3.06228	3.05548	0.0241728
1	46	3.06172	3.05561	0.0236477
1	47	3.0633	3.05578	0.0231451
1	48	3.06742	3.05602	0.0226642
1	49	3.07441	3.0564	0.0222048
1	50	3.08383	3.05694	0.0217675
1	51	3.09275	3.05765	0.021352
1	52	3.09021	3.05827	0.0209505
1	53	3.06573	3.05841	0.0205557
1	54	3.07826	3.05878	0.0201783
1	55	3.12199	3.05993	0.0198442
1	56	3.14435	3.06144	0.019547
1	57	3.15505	3.06308	0.0192729
1	58	3.15572	3.06468	0.0190067
1	59	3.14424	3.06603	0.0187323
1	60	3.13141	3.06712	0.0184518
1	61	3.14625	3.06841	0.0181949
1	62	3.18426	3.07028	0.0179971
1	63	3.21738	3.07262	0.0178622
1	64	3.24004	3.07523	0.0177737
1	65	3.24076	3.07778	0.0176817
1	66	3.21491	3.07986	0.0175355
1	67	3.18251	3.08139	0.0173405
1	68	3.16965	3.08269	0.017134
1	69	3.19192	3.08427	0.0169587
1	70	3.24544	3.08657	0.016872
1	71	3.28853	3.08942	0.0168724
1	72	3.28897	3.09219	0.0168642
1	73	3.19663	3.09362	0.0166938
1	74	3.03424	3.09282	0.0164875
