time	1041.1977367401123
test loss:	0.03343711048364639
test accuracy:	0.9911999702453613
epoch	loss	val_loss	acc	val_acc
0.0	0.3638087809085846	0.08255276829004288	0.909583330154419	0.9735999703407288
1.0	0.11470760405063629	0.05564548820257187	0.965833306312561	0.9818999767303467
2.0	0.07357877492904663	0.042489174753427505	0.9785000085830688	0.986299991607666
3.0	0.057110778987407684	0.03287245333194733	0.98294997215271	0.9889000058174133
4.0	0.04346071928739548	0.040102362632751465	0.9874666929244995	0.9879000186920166
5.0	0.036073070019483566	0.035069916397333145	0.9889333248138428	0.9882000088691711
6.0	0.02955450862646103	0.030904477462172508	0.9907833337783813	0.9901000261306763
7.0	0.023901844397187233	0.0346706286072731	0.9924333095550537	0.9904000163078308
8.0	0.02275809459388256	0.032145366072654724	0.9928833246231079	0.9902999997138977
9.0	0.018839038908481598	0.03343711048364639	0.9939500093460083	0.9911999702453613
