walk_id	step	x	y	z
6	25	3	2	6
7	25	6	5	-2
8	25	-3	1	1
9	25	0	-5	2
0	26	2	-5	-1
1	26	-1	-4	1
2	26	1	1	0
3	26	3	-2	-5
4	26	-2	0	2
5	26	7	-2	-1
6	26	3	3	6
7	26	6	5	-1
8	26	-3	1	0
9	26	0	-5	1
0	27	2	-5	0
1	27	-2	-4	1
2	27	1	0	0
3	27	3	-1	-5
4	27	-2	0	3
5	27	6	-2	-1
6	27	4	3	6
7	27	6	6	-1
8	27	-3	1	-1
9	27	0	-5	0
0	28	2	-5	-1
1	28	-2	-4	2
2	28	1	0	-1
3	28	3	-1	-6
4	28	-2	0	4
5	28	6	-3	-1
6	28	4	4	6
7	28	6	7	-1
8	28	-3	0	-1
9	28	0	-4	0
0	29	2	-5	0
1	29	-2	-4	1
2	29	1	-1	-1
3	29	4	-1	-6
4	29	-1	0	4
5	29	6	-3	-2
6	29	4	4	7
7	29	6	8	-1
8	29	-4	0	-1
9	29	-1	-4	0
0	30	3	-5	0
1	30	-2	-3	1
2	30	1	-1	-2
3	30	4	-2	-6
4	30	-1	0	5
5	30	5	-3	-2
6	30	4	4	6
7	30	7	8	-1
8	30	-4	1	-1
9	30	-2	-4	0
0	31	2	-5	0
1	31	-3	-3	1
2	31	1	-2	-2
3	31	4	-3	-6
4	31	-1	0	6
5	31	5	-3	-1
6	31	5	4	6
7	31	8	8	-1
8	31	-4	2	-1
9	31	-2	-4	1
0	32	3	-5	0
1	32	-3	-4	1
2	32	1	-3	-2
3	32	4	-3	-5
4	32	0	0	6
5	32	5	-4	-1
6	32	5	4	7
7	32	9	8	-1
8	32	-5	2	-1
9	32	-2	-3	1
0	33	3	-4	0
1	33	-3	-4	0
2	33	1	-4	-2
3	33	4	-3	-4
4	33	0	1	6
5	33	5	-4	0
6	33	5	3	7
7	33	9	8	-2
8	33	-5	3	-1
9	33	-2	-3	2
0	34	2	-4	0
1	34	-3	-4	-1
2	34	0	-4	-2
3	34	4	-3	-5
4	34	0	0	6
5	34	5	-4	-1
6	34	5	2	7
7	34	9	8	-3
8	34	-5	2	-1
9	34	-3	-3	2
0	35	3	-4	0
1	35	-3	-3	-1
2	35	0	-4	-1
3	35	4	-4	-5
4	35	0	0	5
5	35	4	-4	-1
6	35	5	3	7
7	35	9	8	-2
8	35	-4	2	-1
9	35	-3	-4	2
0	36	2	-4	0
1	36	-4	-3	-1
2	36	1	-4	-1
3	36	4	-3	-5
4	36	0	-1	5
5	36	4	-5	-1
6	36	5	3	8
7	36	9	8	-1
8	36	-5	2	-1
9	36	-4	-4	2
0	37	1	-4	0
1	37	-4	-3	-2
2	37	1	-4	-2
3	37	4	-4	-5
4	37	0	-2	5
5	37	3	-5	-1
6	37	6	3	8
7	37	9	8	0
8	37	-5	2	0
9	37	-4	-3	2
0	38	1	-5	0
1	38	-3	-3	-2
2	38	2	-4	-2
3	38	4	-4	-6
4	38	0	-3	5
5	38	3	-4	-1
6	38	5	3	8
7	38	9	8	-1
8	38	-5	2	1
9	38	-4	-2	2
0	39	0	-5	0
1	39	-3	-4	-2
2	39	2	-5	-2
3	39	4	-4	-7
4	39	-1	-3	5
5	39	3	-5	-1
6	39	5	2	8
7	39	9	8	-2
8	39	-4	2	1
9	39	-4	-1	2
0	40	1	-5	0
1	40	-3	-4	-1
2	40	1	-5	-2
3	40	4	-4	-6
4	40	-1	-4	5
5	40	2	-5	-1
6	40	5	2	9
7	40	8	8	-2
8	40	-4	2	2
9	40	-4	0	2
0	41	1	-5	-1
1	41	-3	-5	-1
2	41	0	-5	-2
3	41	5	-4	-6
4	41	-1	-4	6
5	41	2	-4	-1
6	41	6	2	9
7	41	8	8	-1
8	41	-4	1	2
9	41	-4	-1	2
0	42	1	-4	-1
1	42	-3	-5	-2
2	42	1	-5	-2
3	42	6	-4	-6
4	42	-1	-5	6
5	42	2	-4	0
6	42	6	2	8
7	42	7	8	-1
8	42	-4	2	2
9	42	-4	-2	2
0	43	0	-4	-1
1	43	-3	-5	-1
2	43	2	-5	-2
3	43	6	-4	-7
4	43	-2	-5	6
5	43	2	-4	1
6	43	7	2	8
7	43	7	8	-2
8	43	-5	2	2
9	43	-4	-2	3
0	44	1	-4	-1
1	44	-3	-6	-1
2	44	3	-5	-2
3	44	6	-3	-7
4	44	-3	-5	6
5	44	2	-4	2
6	44	6	2	8
7	44	7	8	-1
8	44	-5	3	2
9	44	-4	-2	2
0	45	0	-4	-1
1	45	-3	-5	-1
2	45	3	-6	-2
3	45	6	-3	-6
4	45	-3	-5	5
5	45	2	-4	3
6	45	5	2	8
7	45	8	8	-1
8	45	-6	3	2
9	45	-4	-1	2
0	46	0	-3	-1
1	46	-3	-6	-1
2	46	3	-6	-1
3	46	5	-3	-6
4	46	-3	-4	5
5	46	2	-4	2
6	46	6	2	8
7	46	8	9	-1
8	46	-6	3	1
9	46	-4	-1	3
0	47	-1	-3	-1
1	47	-3	-6	0
2	47	3	-6	-2
3	47	5	-3	-7
4	47	-3	-3	5
5	47	2	-5	2
6	47	6	3	8
7	47	8	8	-1
8	47	-5	3	1
9	47	-5	-1	3
0	48	-1	-2	-1
1	48	-2	-6	0
2	48	3	-6	-3
3	48	5	-4	-7
4	48	-4	-3	5
5	48	2	-5	3
6	48	6	4	8
7	48	9	8	-1
8	48	-5	3	0
9	48	-5	-2	3
0	49	-1	-2	0
1	49	-2	-7	0
2	49	3	-6	-4
3	49	5	-5	-7
4	49	-5	-3	5
5	49	2	-6	3
6	49	7	4	8
7	49	9	8	0
8	49	-4	3	0
9	49	-5	-2	4
0	50	-1	-2	1
1	50	-2	-7	1
2	50	4	-6	-4
3	50	6	-5	-7
4	50	-4	-3	5
5	50	2	-5	3
6	50	7	3	8
7	50	9	7	0
8	50	-4	3	-1
9	50	-5	-2	3
0	51	-1	-2	0
1	51	-2	-8	1
2	51	5	-6	-4
3	51	6	-5	-8
4	51	-5	-3	5
5	51	2	-5	4
6	51	7	4	8
7	51	8	7	0
8	51	-4	2	-1
9	51	-4	-2	3
0	52	-1	-2	1
1	52	-2	-8	2
2	52	5	-6	-3
