beta	mu	sigma
0.2	0.815835	0.925858
0.2	0.344923	0.980696
0.2	1.21129	1.13239
0.2	0.74623	0.538264
0.2	0.742929	0.974346
0.2	0.747584	0.439931
0.2	1.21168	0.358132
0.2	0.0858869	0.348682
0.2	1.0934	0.51062
0.2	0.471494	0.688329
0.2	1.58701	0.68679
0.2	0.598699	0.639423
