migr	rank0	rank1	rank2	rank3	
123	68.5126	71.4102	68.8996	72.0818	
124	68.5126	71.2932	68.8996	72.0818	
125	68.5126	71.2932	68.8996	72.0818	
126	68.5126	71.2932	68.8996	72.0818	
127	68.5126	71.2932	68.8996	72.0818	
128	68.5126	70.9416	68.8996	72.0818	
129	68.5126	70.9416	68.8996	72.0818	
130	68.5126	70.738	68.8996	72.0818	
131	68.4553	70.7355	68.8996	72.0818	
132	68.4553	70.7355	68.8996	72.0818	
133	68.4553	70.7355	68.8996	72.0818	
134	68.4553	70.6261	68.8996	72.0818	
135	68.4553	70.6261	68.8996	72.0818	
136	68.4553	70.6261	68.8996	72.0818	
137	68.4553	70.6261	68.8996	72.0818	
138	68.4553	70.6261	68.8996	72.0818	
139	68.4553	70.6261	68.8996	72.0818	
140	68.4553	70.6261	68.8996	72.0818	
141	68.4553	70.6261	68.8996	72.0818	
142	68.4553	70.6261	68.8996	72.0818	
143	68.4553	70.6261	68.8996	72.0818	
144	68.4553	70.6261	68.8996	72.0818	
145	68.4553	70.6261	68.8996	72.0818	
146	68.4553	70.6261	68.6097	72.0818	
147	68.4553	70.6261	68.6097	72.0818	
148	68.4553	70.6261	68.6097	72.0818	
149	68.4553	70.6008	68.6097	72.0818	
150	68.4553	70.6008	68.6097	72.0818	
151	68.4553	70.6008	68.6097	72.0818	
152	68.4553	70.4904	68.6097	72.0818	
153	68.4553	70.4904	68.6097	72.0818	
154	68.4553	70.4904	68.6097	72.0818	
155	68.4553	70.4904	68.6097	72.0818	
156	68.4553	70.4904	68.6097	72.0818	
157	68.4553	70.4904	68.6097	72.0818	
158	68.4553	70.4904	68.6097	72.0818	
159	68.4553	70.4904	68.6097	72.0818	
160	68.4553	70.4904	68.6097	72.0818	
161	68.4553	70.4904	68.6097	72.0818	
162	68.4553	70.4904	68.6097	72.0818	
163	68.4553	70.4904	68.6097	72.0818	
164	68.4553	70.4904	68.6097	72.0818	
165	68.4553	70.4904	68.6097	72.0818	
166	68.4553	70.4904	68.6097	72.0818	
167	68.4553	70.4904	68.6097	72.0818	
168	68.4553	70.4904	68.6097	72.0818	
169	68.4553	70.4904	68.6097	72.0818	
170	68.4553	70.4904	68.6097	72.0818	
171	68.4553	70.4904	68.6097	72.0818	
172	68.4553	70.4904	68.6097	72.0818	
173	68.4553	70.4904	68.6097	72.0818	
174	68.4553	70.4904	68.6097	72.0818	
175	68.4553	70.4904	68.6097	72.0818	
176	68.4553	70.4904	68.6097	72.0818	
177	68.4553	70.4904	68.6097	72.0818	
178	68.4553	70.4904	68.6097	72.0818	
179	68.4553	70.4904	68.6097	72.0818	
180	68.4553	70.4904	68.6097	72.0818	
181	68.4553	70.4904	68.6097	72.0818	
182	68.4553	70.4904	68.6097	72.0818	
183	68.4553	70.4904	68.6097	72.0818	
184	68.4553	70.4904	68.6097	72.0818	
185	68.4553	70.4904	68.6097	72.0818	
186	68.4553	70.4904	68.6097	72.0818	
187	68.4553	70.4904	68.6097	72.0818	
188	68.4553	70.4904	68.6097	72.0818	
189	68.4553	70.4904	68.6097	72.0818	
190	68.4553	70.4904	68.6097	72.0818	
191	68.4553	70.3378	68.6083	72.0818	
192	68.4553	70.3378	68.6083	72.0818	
193	68.4553	70.3378	68.6083	72.0818	
194	68.4553	70.3378	68.5876	72.0818	
195	68.4553	70.3378	68.5696	72.0818	
196	68.4553	70.3378	68.5696	72.0818	
197	68.4553	70.3378	68.5696	72.0818	
198	68.4553	70.3378	68.5696	72.0818	
199	68.4553	70.3378	68.5696	72.0818	
