n	index	x	y
0	0	13.5747	37.3123
1	77	14.7213	36.922
2	90	15.2907	37.0646
3	23	15.0874	37.5024
4	79	15.6398	38.1035
5	55	15.5542	38.1938
6	107	16.0987	38.6267
7	24	16.4316	38.83
8	29	16.8783	39.1874
9	27	16.3331	39.5967
10	54	16.4736	40.4476
11	92	17.0806	40.5488
12	46	18.2261	40.1522
13	17	17.6884	40.6359
14	8	16.862	41.1258
15	9	16.1466	41.1802
16	75	15.8216	40.5173
17	85	15.3106	40.4194
18	7	15.1406	40.9965
19	35	15.4529	41.5028
20	11	14.7057	41.2476
21	22	14.1169	41.2035
22	59	14.2488	40.8359
23	20	14.8262	41.7173
24	25	14.4159	42.1027
25	42	14.2081	41.6495
26	37	13.5758	41.6285
27	45	13.0126	41.4595
28	83	12.4829	41.8933
29	81	12.8859	42.4147
30	44	13.6103	42.1369
31	70	13.9576	42.3103
32	93	13.6979	42.6581
33	5	13.5396	42.8834
34	32	13.6388	43.0922
35	2	13.2188	43.4801
36	51	13.1509	43.153
37	94	12.4397	42.6539
38	109	11.9488	42.493
39	68	12.403	43.107
40	69	12.7014	43.6941
41	82	12.631	43.9465
42	100	13.7773	45.6496
43	39	13.6252	45.9441
44	101	13.2358	46.0635
45	74	12.6597	45.9563
46	10	12.0789	46.2805
47	99	12.2063	45.8067
48	103	12.3346	45.4372
49	84	12.2742	44.9772
50	64	11.8734	45.4077
51	108	11.4064	45.6349
52	15	11.2302	46.6559
53	98	11.1258	46.0664
54	106	10.9924	45.4385
55	52	10.6708	45.1693
56	16	10.4259	45.7796
57	91	10.2584	46.3234
58	12	9.75422	45.7567
59	47	9.41202	45.9005
60	26	9.14941	45.9395
61	58	9.27883	45.6395
62	56	9.18963	45.4642
63	102	8.75413	45.8397
64	104	8.3836	46.1156
65	60	8.546	45.5843
66	105	8.34628	45.5554
67	13	8.08691	45.567
68	3	7.31966	45.7371
69	95	7.68249	45.0678
70	6	8.20269	44.826
71	30	7.55814	44.4581
72	41	7.86674	43.9584
73	88	8.25257	44.2334
74	1	8.74503	44.835
75	38	8.93386	44.4073
76	43	9.69123	44.2384
77	53	10.0526	44.2131
78	71	9.66653	44.8476
79	67	9.13783	45.0369
80	49	9.49168	45.2613
81	28	10.037	45.2209
82	66	10.3281	44.8014
83	80	10.5941	44.6087
84	57	10.936	44.5385
85	50	10.4544	44.0178
86	72	10.4019	43.7159
87	73	10.8687	43.9741
88	76	11.0941	43.9357
89	34	11.2556	43.7698
90	14	11.3426	44.4938
91	33	11.8279	44.7668
92	78	12.059	44.3641
93	36	12.0141	44.0227
94	4	11.7639	43.5171
95	89	11.4676	43.1672
96	40	11.2878	42.7751
97	48	10.3403	42.7902
98	62	9.50674	40.9253
99	87	8.92197	40.7778
100	63	8.67964	40.0266
101	86	8.76505	39.4937
102	21	8.54034	39.3075
103	18	9.11331	39.2172
104	61	9.34238	40.1277
105	96	9.66781	39.9705
106	97	12.516	38.0174
107	65	13.3524	38.1112
108	31	14.2807	37.5668
109	19	14.0632	37.4899
110	0	13.5747	37.3123
