gen	cost
0	305.229
1	228.265
2	191.418
3	161.597
4	149.035
5	140.239
6	132.472
7	121.933
8	117.835
9	111.265
10	107.377
11	104.541
12	101.322
13	98.0743
14	96.939
15	89.4553
16	88.8159
17	85.3958
18	84.4461
19	80.5262
20	79.42
21	77.5795
22	77.4988
23	74.794
24	74.1708
25	73.526
26	73.221
27	73.0992
28	73.0992
29	70.9212
30	70.9212
31	70.3408
32	70.3408
33	70.1401
34	70.1401
35	70.1401
36	70.1401
37	70.0495
38	70.0495
39	70.0495
40	70.0495
41	70.0454
42	70.0454
43	69.3078
44	69.3078
45	69.0187
46	69.0187
47	69.0187
48	69.0187
49	68.9607
50	68.9607
51	68.9607
52	68.9607
53	68.9465
54	68.9465
55	68.9465
56	68.9465
57	68.9465
58	68.9465
59	68.9465
60	68.9465
61	68.9465
62	68.9465
63	68.9465
64	68.9465
65	68.9465
66	68.9465
67	68.9465
68	68.9465
69	68.9465
70	68.9465
71	68.9465
72	68.9465
73	68.9465
74	68.9465
75	68.9465
76	68.9465
77	68.9465
78	68.9465
79	68.9465
80	68.9465
81	68.9465
82	68.9465
83	68.9465
84	68.9465
85	68.9465
86	68.9465
87	68.9465
88	68.9465
89	68.9465
90	68.9465
91	68.9465
92	68.9465
93	68.9465
94	68.9465
95	68.9465
96	68.9465
97	68.9465
98	68.624
99	68.624
100	68.624
101	68.624
102	68.624
103	68.6063
104	68.6063
105	68.2173
106	68.2173
107	68.2173
108	68.2173
109	68.2173
110	68.2173
111	68.2173
112	68.2173
113	68.2173
114	68.2173
115	68.2173
116	68.2173
117	68.2173
118	68.2173
119	68.2173
120	68.2173
121	68.2173
122	68.2173
123	68.2173
124	68.2173
125	68.2173
126	68.2173
127	68.2173
128	68.2173
129	68.2173
130	68.2173
131	68.2173
132	68.2173
133	68.2173
134	68.2173
135	68.2173
136	68.2173
137	68.2173
138	68.2173
139	68.2173
140	68.2173
141	68.2173
142	68.2173
143	68.2173
144	68.0715
145	68.0715
146	68.0715
147	68.0715
148	68.0715
149	68.0715
150	68.0715
151	68.0715
152	68.0715
153	68.0715
154	68.0715
155	68.0715
156	68.0715
157	68.0715
158	68.0715
159	68.0715
160	68.0715
161	68.0715
162	68.0715
163	68.0715
164	68.0715
165	68.0715
166	68.0715
167	68.0715
168	68.0715
169	68.0715
170	68.0715
171	68.0715
172	68.0715
173	68.0715
174	68.0715
175	68.0715
176	68.0715
177	68.0715
178	68.0715
179	68.0715
180	68.0715
181	68.0715
182	68.0715
183	68.0715
184	68.0715
185	68.0715
186	68.0715
187	68.0715
188	68.0715
189	68.0715
190	68.0715
191	68.0715
192	68.0715
193	68.0715
194	68.0715
195	68.0715
196	68.0715
197	68.0715
198	68.0715
199	68.0715
