n	index	x	y
0	0	13.5747	37.3123
1	19	14.0632	37.4899
2	31	14.2807	37.5668
3	77	14.7213	36.922
4	90	15.2907	37.0646
5	23	15.0874	37.5024
6	79	15.6398	38.1035
7	55	15.5542	38.1938
8	107	16.0987	38.6267
9	24	16.4316	38.83
10	29	16.8783	39.1874
11	27	16.3331	39.5967
12	54	16.4736	40.4476
13	92	17.0806	40.5488
14	46	18.2261	40.1522
15	17	17.6884	40.6359
16	8	16.862	41.1258
17	9	16.1466	41.1802
18	75	15.8216	40.5173
19	85	15.3106	40.4194
20	59	14.2488	40.8359
21	22	14.1169	41.2035
22	11	14.7057	41.2476
23	7	15.1406	40.9965
24	35	15.4529	41.5028
25	20	14.8262	41.7173
26	42	14.2081	41.6495
27	25	14.4159	42.1027
28	70	13.9576	42.3103
29	44	13.6103	42.1369
30	37	13.5758	41.6285
31	45	13.0126	41.4595
32	83	12.4829	41.8933
33	109	11.9488	42.493
34	68	12.403	43.107
35	94	12.4397	42.6539
36	81	12.8859	42.4147
37	93	13.6979	42.6581
38	5	13.5396	42.8834
39	32	13.6388	43.0922
40	51	13.1509	43.153
41	2	13.2188	43.4801
42	69	12.7014	43.6941
43	82	12.631	43.9465
44	36	12.0141	44.0227
45	78	12.059	44.3641
46	33	11.8279	44.7668
47	84	12.2742	44.9772
48	103	12.3346	45.4372
49	100	13.7773	45.6496
50	39	13.6252	45.9441
51	101	13.2358	46.0635
52	74	12.6597	45.9563
53	10	12.0789	46.2805
54	99	12.2063	45.8067
55	64	11.8734	45.4077
56	108	11.4064	45.6349
57	15	11.2302	46.6559
58	98	11.1258	46.0664
59	106	10.9924	45.4385
60	52	10.6708	45.1693
61	16	10.4259	45.7796
62	91	10.2584	46.3234
63	12	9.75422	45.7567
64	47	9.41202	45.9005
65	26	9.14941	45.9395
66	58	9.27883	45.6395
67	56	9.18963	45.4642
68	67	9.13783	45.0369
69	49	9.49168	45.2613
70	71	9.66653	44.8476
71	28	10.037	45.2209
72	66	10.3281	44.8014
73	80	10.5941	44.6087
74	57	10.936	44.5385
75	14	11.3426	44.4938
76	73	10.8687	43.9741
77	76	11.0941	43.9357
78	34	11.2556	43.7698
79	4	11.7639	43.5171
80	89	11.4676	43.1672
81	40	11.2878	42.7751
82	48	10.3403	42.7902
83	72	10.4019	43.7159
84	50	10.4544	44.0178
85	53	10.0526	44.2131
86	43	9.69123	44.2384
87	38	8.93386	44.4073
88	1	8.74503	44.835
89	88	8.25257	44.2334
90	6	8.20269	44.826
91	13	8.08691	45.567
92	105	8.34628	45.5554
93	60	8.546	45.5843
94	102	8.75413	45.8397
95	104	8.3836	46.1156
96	3	7.31966	45.7371
97	95	7.68249	45.0678
98	30	7.55814	44.4581
99	41	7.86674	43.9584
100	62	9.50674	40.9253
101	87	8.92197	40.7778
102	63	8.67964	40.0266
103	86	8.76505	39.4937
104	21	8.54034	39.3075
105	18	9.11331	39.2172
106	61	9.34238	40.1277
107	96	9.66781	39.9705
108	97	12.516	38.0174
109	65	13.3524	38.1112
110	0	13.5747	37.3123
