n	index	x	y
0	0	13.5747	37.3123
1	65	13.3524	38.1112
2	97	12.516	38.0174
3	96	9.66781	39.9705
4	61	9.34238	40.1277
5	18	9.11331	39.2172
6	21	8.54034	39.3075
7	86	8.76505	39.4937
8	63	8.67964	40.0266
9	87	8.92197	40.7778
10	62	9.50674	40.9253
11	48	10.3403	42.7902
12	72	10.4019	43.7159
13	76	11.0941	43.9357
14	73	10.8687	43.9741
15	50	10.4544	44.0178
16	53	10.0526	44.2131
17	43	9.69123	44.2384
18	71	9.66653	44.8476
19	38	8.93386	44.4073
20	1	8.74503	44.835
21	67	9.13783	45.0369
22	49	9.49168	45.2613
23	58	9.27883	45.6395
24	56	9.18963	45.4642
25	60	8.546	45.5843
26	105	8.34628	45.5554
27	6	8.20269	44.826
28	88	8.25257	44.2334
29	41	7.86674	43.9584
30	30	7.55814	44.4581
31	95	7.68249	45.0678
32	3	7.31966	45.7371
33	13	8.08691	45.567
34	104	8.3836	46.1156
35	102	8.75413	45.8397
36	26	9.14941	45.9395
37	47	9.41202	45.9005
38	12	9.75422	45.7567
39	28	10.037	45.2209
40	66	10.3281	44.8014
41	80	10.5941	44.6087
42	57	10.936	44.5385
43	14	11.3426	44.4938
44	33	11.8279	44.7668
45	84	12.2742	44.9772
46	103	12.3346	45.4372
47	64	11.8734	45.4077
48	108	11.4064	45.6349
49	106	10.9924	45.4385
50	52	10.6708	45.1693
51	16	10.4259	45.7796
52	91	10.2584	46.3234
53	98	11.1258	46.0664
54	15	11.2302	46.6559
55	10	12.0789	46.2805
56	99	12.2063	45.8067
57	74	12.6597	45.9563
58	101	13.2358	46.0635
59	39	13.6252	45.9441
60	100	13.7773	45.6496
61	32	13.6388	43.0922
62	93	13.6979	42.6581
63	5	13.5396	42.8834
64	51	13.1509	43.153
65	2	13.2188	43.4801
66	69	12.7014	43.6941
67	82	12.631	43.9465
68	78	12.059	44.3641
69	36	12.0141	44.0227
70	68	12.403	43.107
71	4	11.7639	43.5171
72	34	11.2556	43.7698
73	89	11.4676	43.1672
74	40	11.2878	42.7751
75	109	11.9488	42.493
76	94	12.4397	42.6539
77	81	12.8859	42.4147
78	83	12.4829	41.8933
79	45	13.0126	41.4595
80	37	13.5758	41.6285
81	44	13.6103	42.1369
82	70	13.9576	42.3103
83	25	14.4159	42.1027
84	42	14.2081	41.6495
85	22	14.1169	41.2035
86	59	14.2488	40.8359
87	11	14.7057	41.2476
88	20	14.8262	41.7173
89	35	15.4529	41.5028
90	9	16.1466	41.1802
91	7	15.1406	40.9965
92	85	15.3106	40.4194
93	75	15.8216	40.5173
94	54	16.4736	40.4476
95	8	16.862	41.1258
96	92	17.0806	40.5488
97	17	17.6884	40.6359
98	46	18.2261	40.1522
99	29	16.8783	39.1874
100	27	16.3331	39.5967
101	24	16.4316	38.83
102	107	16.0987	38.6267
103	55	15.5542	38.1938
104	79	15.6398	38.1035
105	23	15.0874	37.5024
106	90	15.2907	37.0646
107	77	14.7213	36.922
108	31	14.2807	37.5668
109	19	14.0632	37.4899
110	0	13.5747	37.3123
