Step	Energy
0	-6.65334
1	-6.50345
2	-6.40553
3	-6.25273
4	-6.19464
5	-6.16151
6	-6.10775
7	-6.10333
8	-6.03218
9	-5.99475
10	-5.96118
11	-5.95668
12	-6.05635
13	-5.96219
14	-5.87698
15	-5.85458
16	-5.82354
17	-5.88445
18	-5.84728
19	-5.83168
20	-5.88839
21	-5.80176
22	-5.82439
23	-5.91075
24	-5.95579
25	-5.87549
26	-5.82628
27	-5.84171
28	-5.78735
29	-5.76641
30	-5.73151
31	-5.71491
32	-5.74262
33	-5.81706
34	-5.7943
35	-5.79509
36	-5.80361
37	-5.74683
38	-5.75912
39	-5.74489
40	-5.74022
41	-5.71243
42	-5.66663
43	-5.69574
44	-5.66845
45	-5.69701
46	-5.7154
47	-5.71793
48	-5.70228
49	-5.73836
50	-5.73994
51	-5.75889
52	-5.79649
53	-5.82095
54	-5.82619
55	-5.78177
56	-5.71668
57	-5.63237
58	-5.70986
59	-5.68778
60	-5.67024
61	-5.65285
62	-5.6774
63	-5.76318
64	-5.7509
65	-5.80874
66	-5.75148
67	-5.77916
68	-5.77304
69	-5.77356
70	-5.74964
71	-5.68875
72	-5.5652
73	-5.71365
74	-5.6716
75	-5.63027
76	-5.57875
77	-5.63939
78	-5.57582
79	-5.50512
80	-5.4931
81	-5.61749
82	-5.53137
83	-5.54208
84	-5.58586
85	-5.55802
86	-5.62597
87	-5.56806
88	-5.574
89	-5.47268
90	-5.47028
91	-5.49678
92	-5.55821
93	-5.55383
94	-5.56708
95	-5.60232
96	-5.41807
97	-5.48121
98	-5.54163
99	-5.53631
100	-5.46441
101	-5.46043
102	-5.50397
103	-5.42402
104	-5.47805
105	-5.57907
106	-5.56042
107	-5.51918
108	-5.45265
109	-5.54567
110	-5.58639
111	-5.56135
112	-5.56993
113	-5.63765
114	-5.58427
115	-5.52728
116	-5.51733
117	-5.52355
118	-5.49157
119	-5.65323
120	-5.62617
121	-5.59261
122	-5.50287
123	-5.61253
124	-5.62938
125	-5.5683
126	-5.63368
127	-5.66529
128	-5.67791
129	-5.65452
130	-5.53699
131	-5.59517
132	-5.57134
133	-5.60399
134	-5.68158
135	-5.55521
136	-5.55723
137	-5.58516
138	-5.61347
139	-5.56328
140	-5.61339
141	-5.626
142	-5.57619
143	-5.52286
144	-5.57899
145	-5.45962
146	-5.46688
147	-5.61802
148	-5.58943
149	-5.57162
150	-5.57414
151	-5.51976
152	-5.44181
153	-5.50261
154	-5.54752
155	-5.45397
156	-5.53254
157	-5.57977
158	-5.65039
159	-5.59281
160	-5.71354
161	-5.62505
162	-5.5435
163	-5.5876
164	-5.58078
165	-5.59049
166	-5.59576
167	-5.59408
168	-5.58179
169	-5.49213
170	-5.50656
171	-5.50845
172	-5.49944
173	-5.47164
174	-5.42073
175	-5.5126
176	-5.5116
177	-5.58254
178	-5.5592
179	-5.52705
180	-5.47074
181	-5.49835
182	-5.45407
183	-5.45143
184	-5.5238
185	-5.46352
186	-5.4567
187	-5.5343
188	-5.53358
189	-5.5358
190	-5.57085
191	-5.41336
