T_SIGN	BLOCK	ACTUAL_T	T_AVE	ERROR
1	159	1.12139	1.06631	0.0019499
1	160	1.12407	1.06667	0.00197085
1	161	1.12675	1.06704	0.00199362
1	162	1.12943	1.06743	0.00201816
1	163	1.13209	1.06783	0.00204439
1	164	1.13472	1.06823	0.00207221
1	165	1.1373	1.06865	0.0021015
1	166	1.13983	1.06908	0.00213214
1	167	1.14229	1.06952	0.00216397
1	168	1.14467	1.06997	0.00219684
1	169	1.14696	1.07042	0.00223059
1	170	1.14915	1.07089	0.00226503
1	171	1.15123	1.07136	0.00229999
1	172	1.15319	1.07183	0.00233531
1	173	1.15502	1.07231	0.0023708
1	174	1.15671	1.0728	0.00240628
1	175	1.15827	1.07329	0.00244159
1	176	1.15968	1.07378	0.00247657
1	177	1.16094	1.07427	0.00251106
1	178	1.16205	1.07476	0.00254491
1	179	1.163	1.07525	0.002578
1	180	1.16381	1.07575	0.0026102
1	181	1.16446	1.07624	0.0026414
1	182	1.16497	1.07672	0.0026715
1	183	1.16534	1.07721	0.00270043
1	184	1.16556	1.07769	0.00272811
1	185	1.16566	1.07816	0.0027545
1	186	1.16564	1.07863	0.00277954
1	187	1.1655	1.0791	0.00280323
1	188	1.16527	1.07956	0.00282555
1	189	1.16496	1.08001	0.0028465
1	190	1.16457	1.08045	0.00286609
1	191	1.16412	1.08089	0.00288437
1	192	1.16363	1.08132	0.00290136
1	193	1.16312	1.08175	0.00291711
1	194	1.16259	1.08216	0.00293169
1	195	1.16208	1.08257	0.00294516
1	196	1.16158	1.08298	0.0029576
1	197	1.16113	1.08337	0.00296907
1	198	1.16073	1.08376	0.00297967
1	199	1.1604	1.08415	0.00298948
1	200	1.16016	1.08453	0.00299859
1	201	1.16	1.0849	0.00300709
1	202	1.15996	1.08528	0.00301507
1	203	1.16002	1.08564	0.00302262
1	204	1.16021	1.08601	0.00302982
1	205	1.16053	1.08637	0.00303677
1	206	1.16097	1.08674	0.00304354
1	207	1.16154	1.0871	0.00305021
1	208	1.16223	1.08746	0.00305686
1	209	1.16305	1.08782	0.00306356
1	210	1.16398	1.08818	0.00307036
1	211	1.16503	1.08855	0.00307734
1	212	1.16616	1.08891	0.00308452
1	213	1.16739	1.08928	0.00309197
1	214	1.16869	1.08965	0.00309971
1	215	1.17006	1.09003	0.00310777
1	216	1.17147	1.0904	0.00311617
1	217	1.17292	1.09078	0.00312492
1	218	1.1744	1.09117	0.00313404
1	219	1.17588	1.09155	0.00314351
1	220	1.17738	1.09194	0.00315333
1	221	1.17887	1.09234	0.0031635
1	222	1.18035	1.09273	0.00317399
1	223	1.18181	1.09313	0.00318479
1	224	1.18327	1.09354	0.00319589
1	225	1.1847	1.09394	0.00320727
1	226	1.18613	1.09435	0.00321891
1	227	1.18754	1.09476	0.0032308
1	228	1.18895	1.09517	0.00324294
1	229	1.19035	1.09559	0.0032553
1	230	1.19175	1.09601	0.00326789
1	231	1.19315	1.09643	0.00328069
1	232	1.19455	1.09685	0.0032937
1	233	1.19595	1.09728	0.00330691
1	234	1.19735	1.0977	0.00332032
1	235	1.19873	1.09813	0.0033339
1	236	1.20008	1.09856	0.00334764
1	237	1.2014	1.099	0.00336152
1	238	1.20266	1.09943	0.0033755
1	239	1.20385	1.09987	0.00338953
1	240	1.20494	1.10031	0.00340356
1	241	1.20593	1.10075	0.00341754
1	242	1.20678	1.10119	0.00343139
1	243	1.20749	1.10162	0.00344504
1	244	1.20803	1.10206	0.00345841
1	245	1.20838	1.10249	0.00347142
1	246	1.20854	1.10292	0.00348397
1	247	1.20848	1.10335	0.00349598
1	248	1.20821	1.10377	0.00350736
1	249	1.20772	1.10419	0.00351802
1	250	1.20699	1.1046	0.0035279
1	251	1.20604	1.10501	0.00353692
1	252	1.20486	1.1054	0.00354501
1	253	1.20346	1.10579	0.00355212
1	254	1.20185	1.10617	0.00355821
1	255	1.20003	1.10654	0.00356325
1	256	1.19801	1.10689	0.0035672
1	257	1.19581	1.10724	0.00357006
1	258	1.19343	1.10757	0.00357181
1	259	1.19088	1.1079	0.00357248
1	260	1.18818	1.1082	0.00357205
1	261	1.18533	1.1085	0.00357057
1	262	1.18235	1.10878	0.00356805
1	263	1.17924	1.10905	0.00356453
1	264	1.17603	1.1093	0.00356004
1	265	1.1727	1.10954	0.00355464
1	266	1.16928	1.10977	0.00354836
1	267	1.16577	1.10998	0.00354127
1	268	1.16218	1.11017	0.00353341
1	269	1.15851	1.11035	0.00352484
1	270	1.15477	1.11052	0.00351562
1	271	1.15096	1.11067	0.00350582
1	272	1.14709	1.1108	0.00349548
1	273	1.14317	1.11092	0.00348469
1	274	1.13919	1.11102	0.0034735
1	275	1.13517	1.11111	0.00346198
1	276	1.1311	1.11118	0.00345019
1	277	1.127	1.11124	0.00343821
1	278	1.12286	1.11128	0.0034261
1	279	1.1187	1.11131	0.00341392
1	280	1.11452	1.11132	0.00340175
1	281	1.11034	1.11131	0.00338964
1	282	1.10615	1.1113	0.00337767
1	283	1.10198	1.11126	0.0033659
1	284	1.09783	1.11122	0.00335438
1	285	1.09371	1.11116	0.00334317
1	286	1.08965	1.11108	0.00333233
1	287	1.08564	1.11099	0.00332189
1	288	1.08172	1.11089	0.00331191
1	289	1.07789	1.11078	0.00330242
1	290	1.07416	1.11065	0.00329345
