n	index	x	y
0	0	0.717473	0.696586
1	1	0.482205	0.876058
2	2	-0.127518	-0.991836
3	5	-0.899859	-0.436181
4	8	-0.556778	-0.830661
5	9	0.828785	-0.559567
6	3	-0.488159	0.872755
7	6	-0.278816	-0.960344
8	7	0.857503	0.514478
9	4	-0.98968	0.143298
