step_length	acceptance
0.5	0.7722
0.6	0.7222
0.7	0.6852
0.8	0.6434
0.9	0.6072
1	0.5564
1.1	0.5374
1.2	0.497
1.3	0.471
1.4	0.4396
1.5	0.411
1.6	0.4022
1.7	0.367
1.8	0.3436
1.9	0.3276
2	0.3102
2.1	0.276
2.2	0.2756
2.3	0.2504
2.4	0.2376
