step_length	acceptance
1.5	0.7126
1.6	0.6894
1.7	0.6744
1.8	0.6632
1.9	0.6444
2	0.6374
2.1	0.6124
2.2	0.6014
2.3	0.5868
2.4	0.5788
2.5	0.5564
2.6	0.5428
2.7	0.527
2.8	0.527
2.9	0.5166
3	0.488
3.1	0.4898
3.2	0.4758
3.3	0.4594
3.4	0.4406
