x	y	z	r
-0.99365	-0.66393	-0.518562	1.30271
-0.668306	-0.924195	-0.489371	1.24107
-1.13266	0.219816	-0.00241309	1.1538
-1.09949	0.454712	-0.497277	1.28954
-1.91938	-0.463816	-0.0742859	1.97602
-1.91938	-0.463816	-0.0742859	1.97602
-0.919256	-0.476033	0.863874	1.3483
-0.919256	-0.476033	0.863874	1.3483
-0.919256	-0.476033	0.863874	1.3483
-0.606698	-0.465501	-0.178227	0.7852
0.189292	0.187801	-0.311352	0.409927
0.189292	0.187801	-0.311352	0.409927
0.189292	0.187801	-0.311352	0.409927
-0.617128	0.53415	-0.757731	1.1137
-0.515895	1.00494	0.267256	1.16081
-1.14817	0.341685	-0.186517	1.21237
-1.14817	0.341685	-0.186517	1.21237
-1.76441	-0.492365	0.300151	1.85625
-1.65708	-0.702684	0.270582	1.82013
-1.91589	0.067155	1.01229	2.16792
-0.997928	0.817287	1.25282	1.79816
-0.997928	0.817287	1.25282	1.79816
-1.62393	1.20925	1.59832	2.57954
-1.3717	1.11632	2.063	2.7173
-0.677231	0.0990065	2.75186	2.8357
-0.485707	0.44658	2.23933	2.33451
-0.991039	-0.410181	1.1797	1.59439
-0.991039	-0.410181	1.1797	1.59439
-0.0113473	-0.7737	0.221248	0.804793
-0.0113473	-0.7737	0.221248	0.804793
-0.0113473	-0.7737	0.221248	0.804793
-0.0113473	-0.7737	0.221248	0.804793
0.678607	-0.604502	-0.886279	1.26942
-0.366724	0.471993	-0.0660895	0.601358
-0.366724	0.471993	-0.0660895	0.601358
-0.366724	0.471993	-0.0660895	0.601358
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.227604	0.133556	0.296291	0.396773
-0.0509719	0.190776	0.0369918	0.200903
0.471724	0.217816	0.071605	0.524494
0.471724	0.217816	0.071605	0.524494
0.471724	0.217816	0.071605	0.524494
0.471724	0.217816	0.071605	0.524494
0.471724	0.217816	0.071605	0.524494
0.893482	-0.327696	-0.883111	1.2983
0.893482	-0.327696	-0.883111	1.2983
0.893482	-0.327696	-0.883111	1.2983
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.516397	-0.556262	-0.1148	0.76764
0.298079	-0.427178	0.723375	0.891405
0.298079	-0.427178	0.723375	0.891405
0.826942	-0.257095	0.544725	1.02306
1.01942	0.605598	0.180623	1.19941
1.01942	0.605598	0.180623	1.19941
1.01942	0.605598	0.180623	1.19941
1.18241	0.155214	0.512266	1.29792
1.18241	0.155214	0.512266	1.29792
1.18241	0.155214	0.512266	1.29792
1.18241	0.155214	0.512266	1.29792
0.0186454	0.651484	0.196891	0.680841
0.0186454	0.651484	0.196891	0.680841
0.0186454	0.651484	0.196891	0.680841
0.0186454	0.651484	0.196891	0.680841
0.0186454	0.651484	0.196891	0.680841
0.0186454	0.651484	0.196891	0.680841
-0.80508	-0.253766	0.50159	0.981908
-0.80508	-0.253766	0.50159	0.981908
