step_length	acceptance
1.5	0.56
1.6	0.5325
1.7	0.5125
1.8	0.497
1.9	0.4855
2	0.4415
2.1	0.4305
2.2	0.4245
2.3	0.4125
2.4	0.392
2.5	0.3815
2.6	0.369
2.7	0.3585
2.8	0.355
2.9	0.345
3	0.3225
3.1	0.327
3.2	0.305
3.3	0.295
3.4	0.292
