x	y	z	r
1.21636	3.95617	5.32426	6.74378
1.38138	5.29555	4.83352	7.30165
1.70428	2.98648	4.81386	5.91582
-0.244566	3.82349	3.73512	5.3507
-0.244566	3.82349	3.73512	5.3507
-1.77257	2.22063	2.6385	3.87748
-2.49709	3.88747	3.29626	5.67567
-3.98633	1.87184	4.47237	6.27669
-3.72695	1.36357	4.40092	5.92601
-3.72695	1.36357	4.40092	5.92601
-1.50854	3.17639	4.9822	6.09815
-1.50854	3.17639	4.9822	6.09815
-1.50854	3.17639	4.9822	6.09815
-1.50854	3.17639	4.9822	6.09815
0.169762	0.717885	6.64695	6.68776
0.632611	1.55785	5.40834	5.66368
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.588608	-0.51265	2.84755	2.9526
-0.252401	-1.33054	3.72331	3.96195
-0.252401	-1.33054	3.72331	3.96195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
-0.617692	-1.12509	1.32114	1.84195
0.645489	-1.05974	1.40479	1.87434
0.645489	-1.05974	1.40479	1.87434
0.645489	-1.05974	1.40479	1.87434
0.645489	-1.05974	1.40479	1.87434
1.63284	-2.93537	1.7084	3.76845
1.63284	-2.93537	1.7084	3.76845
1.63284	-2.93537	1.7084	3.76845
1.63284	-2.93537	1.7084	3.76845
0.721554	-3.48773	3.56515	5.03937
0.721554	-3.48773	3.56515	5.03937
-0.533367	-4.61401	2.56724	5.307
-0.533367	-4.61401	2.56724	5.307
2.0865	-3.03275	4.08621	5.49983
2.0865	-3.03275	4.08621	5.49983
-0.799744	-3.43115	4.62361	5.81293
-0.799744	-3.43115	4.62361	5.81293
-0.799744	-3.43115	4.62361	5.81293
1.04417	-4.31697	5.6312	7.17196
1.04417	-4.31697	5.6312	7.17196
1.94981	-6.20739	6.63676	9.29409
3.2279	-5.79635	6.20503	9.08402
3.69304	-3.71151	5.32511	7.46798
3.69304	-3.71151	5.32511	7.46798
4.55728	-1.86033	2.90904	5.7177
4.55728	-1.86033	2.90904	5.7177
5.4095	-0.742354	3.76001	6.62959
5.4095	-0.742354	3.76001	6.62959
5.4095	-0.742354	3.76001	6.62959
2.59708	0.456965	2.99786	3.99259
0.664438	-0.834875	5.75724	5.85528
-0.980063	0.795659	6.38624	6.50981
0.67862	2.2433	3.90842	4.55726
-1.80954	1.06535	4.21594	4.70994
-1.80954	1.06535	4.21594	4.70994
-1.80954	1.06535	4.21594	4.70994
-2.22253	-1.71379	3.95123	4.84654
-1.90437	-1.05484	1.13643	2.45577
-1.90437	-1.05484	1.13643	2.45577
-1.90437	-1.05484	1.13643	2.45577
-1.90437	-1.05484	1.13643	2.45577
-2.09425	1.04841	-0.96853	2.53439
-2.09425	1.04841	-0.96853	2.53439
-2.09425	1.04841	-0.96853	2.53439
-3.3352	-1.20937	-3.24544	4.80823
-3.3352	-1.20937	-3.24544	4.80823
-1.50226	-0.14551	-5.70732	5.90352
