L	block_ave	err
10	-5.459683497739953	0.00035133935881214064
14	-5.459682029576228	0.0004131523963442219
19	-5.459678114183413	0.00047634685277725115
24	-5.459680572469158	0.0005284872961176794
29	-5.459679499588971	0.0005720087685478581
34	-5.459673816008977	0.0006087609287285581
39	-5.459676493799761	0.0006398713024390714
44	-5.4596742775795315	0.0006654124298540552
49	-5.459682029576246	0.0006878735972361026
54	-5.4596784537967205	0.0007063452895525493
59	-5.459673020145386	0.0007220232200505992
64	-5.459673395677317	0.0007361292480543351
69	-5.459674778288453	0.0007473636353966839
74	-5.459672361664505	0.0007552592570595841
79	-5.459680212643827	0.0007645685455414566
84	-5.459673395677316	0.0007730966611738054
89	-5.4596770997753685	0.0007803086269447405
94	-5.459678453796711	0.0007840121077419466
99	-5.459671927852783	0.0007882106684724013
104	-5.459674622025589	0.0007900340880473227
109	-5.459677449473285	0.0007997947510797546
114	-5.459680576206771	0.0008061636026748822
119	-5.459676099068046	0.0008108785231454626
124	-5.459673395677333	0.0008112369592115625
129	-5.459681278559648	0.00081353269905471
134	-5.45967187315234	0.0008196422109479068
139	-5.459677449473285	0.0008175135926094429
144	-5.459673395677327	0.0008195736486729211
149	-5.459679961011805	0.0008314782480764684
154	-5.459681083171291	0.0008356062080808474
159	-5.459679822343056	0.0008317789437399085
164	-5.459681207929236	0.0008360568999395532
169	-5.4596789170077304	0.0008293378749668671
174	-5.45967891700774	0.0008368892573262837
179	-5.459672098062399	0.0008401079401289209
184	-5.45967462202558	0.0008462044417815906
189	-5.459678434262501	0.0008457594332185478
194	-5.459673095543851	0.0008399654812331603
199	-5.4596807779542775	0.0008558557141082535
204	-5.4596844154861905	0.0008450960750877644
209	-5.4596746220255685	0.0008611613869461228
214	-5.459678596310509	0.000848728444372736
219	-5.459675598357528	0.0008442769257794411
224	-5.459673395677335	0.0008511045058929166
229	-5.459678105127561	0.0008502150121338877
234	-5.459681969933407	0.0008673579274875572
239	-5.459679146579525	0.0008510224571803142
