time	chi
1	0.8141201376251351
11	0.25307382227359826
21	0.15047036068891734
31	0.10692987411555882
41	0.0856893676275888
51	0.06856838799981654
61	0.05609533434561203
71	0.044026307157707265
81	0.03276930442636233
91	0.027276394856554347
101	0.023510138061711063
111	0.016857110443267077
121	0.01138286455967083
131	0.00830765684653972
141	0.006227404111695954
151	0.005930084185047502
161	0.003757356963164934
171	0.00412797822722477
181	0.0017859464619304284
191	-0.0011998424924513054
201	-0.0021235691459513635
211	-0.0018926916741550419
221	-0.001025879777548543
231	-0.0003657347696870899
241	0.0030653147848454525
251	-0.0028370343077446037
261	-0.0020825961294303383
271	-0.004858742988064395
281	-0.0027973082513593653
291	-0.004223442083292312
301	-0.0031434531184325533
311	-0.0015981008410426865
321	-0.005853348751566718
331	-0.00613511559482826
341	-0.0049775282184689445
351	-0.0012960758567968796
361	-0.002231072259782039
371	-0.0029223984913135975
381	-0.001672575823578575
391	-0.0011548707718586778
401	-4.602433786726207e-05
411	-0.0001754842370829216
421	-0.00015371017830822568
431	-0.003817172665581448
441	-0.0010095527412768627
451	-0.001483253332524264
461	0.001547570782727098
471	0.005848568239548986
481	0.00343404768014392
491	0.002456879222602525
501	0.0032510979306291463
511	0.000885289261912249
521	0.00748962435892823
531	0.008109236652228787
541	0.006505861574243672
551	0.010860814072975164
561	0.008087629223101717
571	0.0014414661490800744
581	-0.0008726101064098255
591	-0.004465099935466799
601	-0.002105040416037962
611	0.001130537651176496
621	0.0001661043945084874
631	0.000557393779524298
641	-0.0023868252370411285
651	-0.002064741003541521
661	-0.0003724657541190829
671	-0.0036412397512694196
681	0.002832516467785068
691	0.0033589708571823483
701	0.006551557911996815
711	0.005133621213301302
721	0.00550305044776044
731	0.004630829649701018
741	0.00043032691456513415
751	0.00036745193119483975
761	0.0033819897388942498
771	-0.0015789351721629315
781	-0.00224314596914209
791	-0.004457187369059925
801	0.0020079006219691073
811	0.006473226390910526
821	0.004129049270238525
831	0.0016425343269067592
841	0.005995498238805439
851	0.0052518432132222645
861	-0.0029383493909507286
871	0.0010108070370032287
881	-0.0023940609466521247
891	0.000831093346191036
901	0.002444015134765299
911	0.001076749555018014
921	0.0012590636834011737
931	0.003795312938706619
941	-0.0014781710370879886
951	-0.0005587491027386353
961	0.0014838476951496366
971	0.00036792815216473714
981	-0.002262760516776142
991	-0.0026231183560421435
1001	0.0022921393474148706
1011	0.004740642921198769
1021	0.005300706954798554
1031	0.004318813539507872
1041	0.004150704909938244
1051	0.0034139450617114648
1061	0.0025013299744227266
1071	-0.0014727776059170208
1081	-0.0047111794930855015
1091	-0.0044221327520388865
1101	-0.002070894581463897
1111	-0.0014944147881935852
1121	-0.0028237744001196837
1131	-0.0017931670707837203
1141	-0.0004901728719178115
1151	0.00040278419061145506
1161	-0.0020994737317827044
1171	0.0007599212115633791
1181	-0.001839658015358826
1191	-0.00436266098348954
1201	-0.0012699245607504794
1211	-0.0010472045559922394
1221	0.0004109393804517383
1231	-0.0034845809602836062
1241	0.0004842058186371275
1251	-0.0023690422671174397
1261	0.0020605337021094897
1271	0.001848743407526363
1281	0.002833956033318034
1291	-0.0005797590369420507
1301	-0.0006720606485260303
1311	-0.001547370204006062
1321	0.0033237370245840295
1331	-0.003927828799420927
1341	-0.0043839584974540435
1351	-0.0060558285422404965
1361	-0.0030466119891154617
1371	0.0006363974486433092
1381	-0.000635044992833998
1391	-8.727532062415947e-06
1401	-0.0032688253223371556
1411	0.004813671122347285
