T_SIGN	BLOCK	ACTUAL_T	T_AVE	ERROR
1	1	1.09817	1.09817	0
1	2	1.09071	1.09444	0.00263735
1	3	1.10094	1.09661	0.00249442
1	4	1.09232	1.09554	0.00208882
1	5	1.09327	1.09508	0.0017194
1	6	1.08844	1.09398	0.00175312
1	7	1.09173	1.09366	0.0015317
1	8	1.1049	1.09506	0.00187761
1	9	1.09177	1.0947	0.00170421
1	10	1.09058	1.09429	0.00158266
1	11	1.08062	1.09304	0.00186368
1	12	1.08574	1.09243	0.00180503
1	13	1.0909	1.09232	0.00167002
1	14	1.10308	1.09309	0.00171853
1	15	1.08657	1.09265	0.001658
1	16	1.09675	1.09291	0.00157406
1	17	1.09183	1.09284	0.00148275
1	18	1.08201	1.09224	0.00151773
1	19	1.09627	1.09245	0.0014526
1	20	1.08968	1.09232	0.00138656
1	21	1.08098	1.09178	0.00142176
1	22	1.0985	1.09208	0.00138963
1	23	1.10934	1.09283	0.00151839
1	24	1.1035	1.09328	0.00151878
1	25	1.07757	1.09265	0.00158269
1	26	1.12146	1.09376	0.00186991
1	27	1.08605	1.09347	0.00182233
1	28	1.09006	1.09335	0.00176132
1	29	1.08618	1.0931	0.00171786
1	30	1.07196	1.0924	0.00179937
