L	block_ave	err
10	-5.4646059011400085	0.0003436710323526113
14	-5.46460567228541	0.0003809604018359697
19	-5.464604476714286	0.0004154534499920775
24	-5.464605324525214	0.0004425062616147256
29	-5.464605089851989	0.00046296826065031846
34	-5.46460223451407	0.00048113795618483555
39	-5.46460456356252	0.0004956699187379478
44	-5.464602556403138	0.000511043826562146
49	-5.464605672285386	0.0005238707286456232
54	-5.464604461444926	0.0005321189532269495
59	-5.464601695535299	0.000540065694874075
64	-5.464601928863454	0.0005491480329800818
69	-5.464603231928061	0.0005560550796030896
74	-5.464601432160392	0.0005633518317815653
79	-5.464605224774029	0.0005734661686100375
84	-5.464601928863454	0.0005762687782297698
89	-5.464603097839022	0.0005846305105120999
94	-5.46460446144493	0.0005933080172265355
99	-5.464601433983406	0.0005967621547371694
104	-5.464604461782511	0.0005983521415855078
109	-5.464604381768984	0.0006038091473376237
114	-5.464601305547214	0.0006058698190416194
119	-5.4646043264208775	0.0006143947290089691
124	-5.464601928863437	0.0006125580398266231
129	-5.464604106626649	0.0006214143581634658
134	-5.464601059457478	0.0006201559210104871
139	-5.464604381768994	0.0006268109454847302
144	-5.464601928863455	0.0006260706795251621
149	-5.4646009666429896	0.0006351519777510209
154	-5.464601792895951	0.0006392632789592581
159	-5.464600954938626	0.0006329856931545309
164	-5.46460479814832	0.000634341334397337
169	-5.46460219210966	0.0006365820226950335
174	-5.464602192109655	0.0006367079625921767
179	-5.464601067913191	0.0006442507381101339
184	-5.464604461782504	0.0006478932112275637
189	-5.4646024147587955	0.0006529833438313718
194	-5.46460320189703	0.0006559078706945464
199	-5.464601529202537	0.0006508796339741231
204	-5.46459535836334	0.0006413044888071596
209	-5.46460446178249	0.0006519151451739838
214	-5.464602378476685	0.0006547499246670847
219	-5.464603945921511	0.0006533119309443537
224	-5.464601928863452	0.000662262190933581
229	-5.464602700282252	0.0006599191182012763
234	-5.464600628941383	0.0006670199104258202
239	-5.4646048014352155	0.0006586498976440154
244	-5.46460066513853	0.0006671182556026486
249	-5.464605324525195	0.0006710147738087486
254	-5.464604798148318	0.0006601563026369773
259	-5.464605167443522	0.0006581634040735796
264	-5.464595974023108	0.000669611230738986
269	-5.464595657140239	0.0006709322285486112
274	-5.464596760868873	0.0006670478068903151
279	-5.464601928863439	0.0006638281992919867
284	-5.464603129801549	0.0006675837766685947
289	-5.464602234514068	0.0006672051664515497
294	-5.464595358363342	0.0006735931296934873
299	-5.4646044617825105	0.0006674084978825746
304	-5.464596760868864	0.0006654169926439529
309	-5.464600654969768	0.0006807843162057778
314	-5.464601529202538	0.0006624431289778094
319	-5.464604574101819	0.0006637731903193222
324	-5.464604101057734	0.0006727547803576922
329	-5.464595869202865	0.0006684008350351717
334	-5.46460578052312	0.0006719985677453486
339	-5.464601267936265	0.0006736541447473945
344	-5.46460291025785	0.0006742065569725465
349	-5.4645963886443205	0.0006695491594834508
354	-5.464605390998868	0.0006759070564788412
359	-5.464595079123039	0.0006785641624328777
364	-5.464596644990117	0.0006775910528735275
369	-5.464605573975743	0.0006831329241769429
374	-5.464602188130414	0.000674736950618404
379	-5.464602018539668	0.000655309247098257
384	-5.464601928863439	0.0006789005054028894
389	-5.464605674812208	0.0006784787108617377
394	-5.464604461444924	0.0006674322042670738
399	-5.4646010679131924	0.0006643634778172368
404	-5.4645954345189915	0.0006703393095396458
409	-5.4645953012417054	0.0006637273546040662
414	-5.464599335518654	0.0006712407049153608
419	-5.464605748068986	0.0006765512092682353
424	-5.464600954938628	0.0006776975785252995
429	-5.4645964244825205	0.0006690532926405357
434	-5.464601928863449	0.0006745746053054792
439	-5.464598657237454	0.0006801760444248614
444	-5.464601432160411	0.0006823709684888008
449	-5.464595112809342	0.0006838241855441361
454	-5.464606978517734	0.0006757671015597479
459	-5.464606450402225	0.0006696233264336747
464	-5.464595079123046	0.0006787192450667334
469	-5.464601059457469	0.000681717686101754
474	-5.4645992050776995	0.0006798689868145404
479	-5.4645990247339284	0.000679255328724644
484	-5.464602556403159	0.0006824143246241741
489	-5.464596962049625	0.0006789443456337314
494	-5.464604461782501	0.0006836226386532116
499	-5.464605780523123	0.0006807678944073474
504	-5.464601928863447	0.0006709850640726828
509	-5.464602881673666	0.0006818638258921668
513	-5.464602495166739	0.0006758933345544009
518	-5.464605167443534	0.0006721002019481309
523	-5.46460480143523	0.0006723646229022459
528	-5.464596834858893	0.0006864200487541726
533	-5.46460105945747	0.0006800130584686468
538	-5.464595657140227	0.0006756044578589074
543	-5.464597878853386	0.0006794411449502091
548	-5.464596760868866	0.0006644243777837641
553	-5.464602987305767	0.0006870627774668765
558	-5.464601928863444	0.0006839036997712957
563	-5.464601432160402	0.0006882003428793881
568	-5.4646031298015325	0.0006739160716771599
573	-5.4646031471652465	0.0006737577487928738
578	-5.464602234514065	0.0006801914961299101
583	-5.464602558348062	0.0006785213014069885
588	-5.464595358363352	0.0006906127266203309
593	-5.464601738091095	0.0006944036771458536
598	-5.464604461782485	0.0006806048481862023
603	-5.464601553231028	0.000675871895587113
608	-5.464596760868867	0.0006790026775146956
613	-5.464599390045939	0.0006562738644500932
618	-5.464600654969781	0.0006881242696267243
623	-5.464604210921328	0.0006809681123384927
628	-5.464601529202535	0.0006889941594089367
633	-5.464600983607546	0.0006799546572848138
638	-5.464596433338545	0.0006772341457799898
643	-5.464600257980711	0.0006817789116259981
648	-5.464599335258844	0.0006822750936721498
653	-5.46459611052057	0.0006897917040553038
658	-5.464604130614989	0.0006836380911165845
663	-5.464602192109656	0.0006812132996837445
668	-5.464602188130427	0.0006855289118181899
673	-5.464596126087881	0.000687568540453901
678	-5.464601267936258	0.0006877210079844217
683	-5.464600665138537	0.000684435709472363
688	-5.464596834858896	0.0006953755361736834
693	-5.464603680834498	0.0006938886448127386
698	-5.464596388644329	0.0006822325994653616
703	-5.464603029771948	0.0006820073215576739
708	-5.464605390998866	0.0006872541762261287
713	-5.464598894266455	0.0006868892636864708
718	-5.464595079123039	0.0006853646101832482
723	-5.464599628557649	0.0006884589694236625
728	-5.464600129172945	0.000680163805114695
733	-5.464602657519612	0.0006929444751883799
738	-5.464602635931672	0.000695144295952519
743	-5.464600497200057	0.0006780979998352761
748	-5.4646021881304225	0.0006726196951693055
753	-5.464605324525192	0.0006990608603642069
758	-5.464592206949845	0.0006683684708259965
763	-5.464597043650512	0.000692227191640426
768	-5.464601928863445	0.0007006026025954028
773	-5.464595442808567	0.00069845592729228
778	-5.464598794116231	0.0006922539154823311
783	-5.4645964333385395	0.000694218446769
788	-5.4645995934082165	0.0006819870074414895
793	-5.464599552232831	0.0006944988990200821
798	-5.464596452573126	0.0006678703876691939
803	-5.464599826855081	0.0006791959258542543
808	-5.464595571950393	0.0007044869196372848
813	-5.464605573975738	0.0006960045697300689
818	-5.464595301241702	0.0006790864394654334
823	-5.464598249302891	0.0006823014020207068
828	-5.464600688325683	0.0006768253803642746
833	-5.464595358363345	0.0006875892949723236
838	-5.464598314819566	0.0007008321064528589
843	-5.464601738091102	0.0006845622091749095
848	-5.464599202197521	0.0006886202485562995
853	-5.4646065144501	0.000678369131670326
858	-5.464595298344273	0.0006751389135098688
863	-5.464602304288569	0.0006879511019998127
868	-5.464601928863445	0.0006952810907742586
873	-5.464595298344265	0.0006851184663024393
878	-5.464598657237449	0.0006970815902487946
883	-5.464596769225533	0.0006880084974308994
888	-5.464601432160397	0.0006990720961223681
893	-5.464597348348417	0.0006995772707744576
898	-5.464600421760581	0.0006986912508617709
903	-5.464595652766845	0.0006987836984909027
908	-5.464598754285141	0.0006799510195412615
913	-5.464601002060425	0.0007024584479939103
918	-5.464597597158139	0.0006887322161139838
923	-5.46459562346924	0.0006784680834733066
928	-5.464602329148502	0.0006823592297156271
933	-5.464594121084628	0.0006964504117506106
938	-5.464601059457467	0.0007089212101616029
943	-5.464595760919583	0.0006887814918207438
948	-5.464599205077706	0.0006888431839613459
953	-5.464595220356772	0.0006879099181590831
958	-5.464593967779161	0.0006882787099051891
963	-5.464595458055969	0.0006754053453762995
968	-5.464596834858893	0.0006841542747828163
973	-5.464592490979648	0.0007057431919827032
978	-5.464596962049636	0.0006892166967159654
983	-5.464596036037847	0.000696274795803386
988	-5.464604461782499	0.0007021726940196977
993	-5.4645983311010085	0.0007135404395138835
998	-5.464605780523115	0.0006931749839576578
1003	-5.464595772261531	0.0006797561185505011
1008	-5.464601928863444	0.0006866687371654598
1012	-5.464604461782502	0.0007107225328094458
1017	-5.464595359259193	0.0007140477069949455
1022	-5.464596962049629	0.0006880059528650785
1027	-5.464593755254228	0.000691574512638153
1032	-5.464596834858899	0.000690123683570234
1037	-5.464603055454406	0.0007016348619014179
1042	-5.464593967779166	0.0006763397143213156
1047	-5.4646039224579015	0.0007022501594799764
1052	-5.464599555393237	0.0006846928243159823
1057	-5.46460036396839	0.0007126347625452115
1062	-5.4645924581880845	0.0007039206725599511
1067	-5.464595298344265	0.0006847920957272439
1072	-5.464596362781049	0.0006935374947485031
1077	-5.464595079123037	0.0006915231013176963
1082	-5.464601792895959	0.0007081236320805084
1087	-5.464588854395276	0.0006940361769202817
1092	-5.464593591146279	0.0006998632181937829
1097	-5.464592896731342	0.000705807804259048
1102	-5.46459983371594	0.0006653371237657934
1107	-5.464601274313637	0.0006987432412236107
1112	-5.464600421760585	0.0007076098203909094
1117	-5.464599743820839	0.0006967459789487016
1122	-5.464600554767764	0.000701425362277186
1127	-5.464602236665798	0.0006946912891353298
1132	-5.4645995458642815	0.0006910276682422746
1137	-5.464592065981091	0.0006808108269218138
1142	-5.46459154626554	0.0007092036739516157
1147	-5.464590613775063	0.0007032803599852009
1152	-5.464601928863447	0.0006972669965876847
1157	-5.464600628941379	0.0006985533675825078
1162	-5.464602570888205	0.0007124702136947732
1167	-5.464598794116238	0.0007005767124751747
1172	-5.4646014103134135	0.0006794737145795903
1177	-5.464592662830032	0.0007082101422543709
1182	-5.464604461444922	0.0006895636190161561
1187	-5.464595287366904	0.0006773534268954486
1192	-5.464598314819559	0.0006827308695027516
1197	-5.464592490979651	0.0006881669614953957
1202	-5.4645842249664165	0.0006640818909779446
1207	-5.46459933551865	0.0007233584444141851
1212	-5.4645955719504045	0.0007087706702844878
1217	-5.4645909767721506	0.000709746031271761
1222	-5.4645953012417054	0.0006752890320439648
1227	-5.464596926904679	0.0006879259639648162
1232	-5.464590931036558	0.0006865028581826674
1237	-5.464595434518996	0.0007334581237009946
1242	-5.464600688325685	0.000701777585769546
1247	-5.464585755352842	0.000721726603479752
1252	-5.464596452573127	0.0006809079205018076
1257	-5.464596408605516	0.0007118278290856779
1262	-5.464595974023111	0.0006990216750978745
1267	-5.464599769910943	0.0006886705175648787
1272	-5.464600954938621	0.0006979597190887105
1277	-5.464597539149257	0.0006956838272262706
1282	-5.464604563562548	0.0007060280798216683
1287	-5.464595298344262	0.0007070377772267314
1292	-5.464581211861762	0.0007271805428799466
1297	-5.4645953654086865	0.00069149664748725
1302	-5.464601928863445	0.0007114364963628762
1307	-5.46460076759455	0.0007160652920087941
1312	-5.464604798148323	0.0007152349684313136
1317	-5.4645920659810905	0.0006695397119175066
1322	-5.464598255389061	0.0006864803376717458
1327	-5.464590902772212	0.0006892894325573301
1332	-5.4645945747947975	0.0007013663584593429
1337	-5.464583366666599	0.0007266332193278195
1342	-5.464600099854973	0.0006847241727728697
1347	-5.464595112809335	0.00072430753620018
1352	-5.464585537475342	0.0006975855030196338
1357	-5.464594598859378	0.0007116345570640509
1362	-5.46460697851773	0.000698622616116045
1367	-5.464590826908243	0.0007178991394506102
1372	-5.464600129172942	0.0006928633497910905
1377	-5.464606450402221	0.000682129338066729
1382	-5.46458569514654	0.0006974430000691361
1387	-5.464594728610909	0.0007054581187749774
1392	-5.464595079123044	0.0006990187070618726
1397	-5.464579152064548	0.0006952099364441852
1402	-5.464594445555305	0.0007025471179558802
1407	-5.464597256314004	0.000701397336638202
1412	-5.464605390998867	0.0007098069486935285
1417	-5.464584321850741	0.0007220540611847318
1422	-5.464593755254229	0.0007021753144696995
1427	-5.464598180638703	0.0007327112597266232
1432	-5.46459638864433	0.0007037870364023179
1437	-5.464586492271965	0.0006811685315217156
1442	-5.4645887774085455	0.000684598769912704
1447	-5.4646000226956275	0.0006957735683971075
1452	-5.464596834858899	0.0007030828435691086
1457	-5.464595869202866	0.0007155168746390528
1462	-5.464578806319225	0.0006930606854057218
1467	-5.464582531536949	0.0006994074296196604
1472	-5.4645945858383	0.0007059640691278644
1477	-5.464599875026545	0.0007013201952773706
1482	-5.464602351802239	0.0007066580222388269
1487	-5.4646027584702335	0.0006946602423408012
1492	-5.464599822276022	0.0006946995927588073
1497	-5.464605780523125	0.0006905533517888279
1502	-5.46458219576709	0.0007092051100966198
1507	-5.46458567266152	0.0007176449398324401
