T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	145	-5.99272	-5.95003	0.00324707
1	146	-5.99086	-5.95031	0.00323684
1	147	-5.98894	-5.95058	0.00322547
1	148	-5.98668	-5.95082	0.00321289
1	149	-5.98437	-5.95105	0.00319921
1	150	-5.98249	-5.95126	0.00318474
1	151	-5.98044	-5.95145	0.00316951
1	152	-5.97822	-5.95163	0.00315354
1	153	-5.97599	-5.95178	0.00313695
1	154	-5.97391	-5.95193	0.00311987
1	155	-5.97214	-5.95206	0.00310246
1	156	-5.97009	-5.95217	0.00308473
1	157	-5.96745	-5.95227	0.00306661
1	158	-5.9653	-5.95235	0.00304831
1	159	-5.96303	-5.95242	0.00302988
1	160	-5.96111	-5.95248	0.00301143
1	161	-5.95909	-5.95252	0.00299301
1	162	-5.95728	-5.95255	0.00297467
1	163	-5.95538	-5.95256	0.00295648
1	164	-5.95371	-5.95257	0.00293846
1	165	-5.9515	-5.95256	0.00292066
1	166	-5.94953	-5.95255	0.00290312
1	167	-5.9484	-5.95252	0.00288584
1	168	-5.94661	-5.95249	0.00286888
1	169	-5.94537	-5.95244	0.00285221
1	170	-5.94392	-5.95239	0.00283587
1	171	-5.94288	-5.95234	0.00281983
1	172	-5.9421	-5.95228	0.00280407
1	173	-5.94097	-5.95221	0.00278862
1	174	-5.93995	-5.95214	0.00277348
1	175	-5.93934	-5.95207	0.0027586
1	176	-5.93929	-5.952	0.00274388
1	177	-5.93905	-5.95192	0.00272936
1	178	-5.93877	-5.95185	0.00271502
1	179	-5.93875	-5.95178	0.00270084
1	180	-5.93807	-5.9517	0.00268691
1	181	-5.93811	-5.95163	0.00267311
1	182	-5.93794	-5.95155	0.00265948
1	183	-5.93818	-5.95148	0.00264595
1	184	-5.9382	-5.9514	0.00263256
1	185	-5.93832	-5.95133	0.00261928
1	186	-5.93867	-5.95127	0.00260608
1	187	-5.93895	-5.9512	0.00259298
1	188	-5.93977	-5.95114	0.0025799
1	189	-5.94051	-5.95108	0.00256686
1	190	-5.94102	-5.95103	0.0025539
1	191	-5.94189	-5.95098	0.00254097
1	192	-5.94298	-5.95094	0.00252808
1	193	-5.94367	-5.9509	0.00251526
1	194	-5.94411	-5.95087	0.00250254
1	195	-5.94476	-5.95084	0.0024899
1	196	-5.94575	-5.95081	0.00247734
1	197	-5.94663	-5.95079	0.00246485
1	198	-5.94739	-5.95077	0.00245246
1	199	-5.94834	-5.95076	0.00244017
1	200	-5.94948	-5.95075	0.00242798
1	201	-5.95064	-5.95075	0.0024159
1	202	-5.95152	-5.95076	0.00240394
1	203	-5.95304	-5.95077	0.00239212
1	204	-5.95427	-5.95079	0.00238046
1	205	-5.95551	-5.95081	0.00236896
1	206	-5.95708	-5.95084	0.00235765
1	207	-5.95851	-5.95088	0.00234656
1	208	-5.95995	-5.95092	0.00233568
1	209	-5.9614	-5.95097	0.00232504
1	210	-5.96271	-5.95103	0.00231464
1	211	-5.96403	-5.95109	0.00230449
1	212	-5.96536	-5.95115	0.00229461
1	213	-5.96639	-5.95123	0.00228495
1	214	-5.96757	-5.9513	0.00227555
1	215	-5.96891	-5.95138	0.00226644
1	216	-5.97041	-5.95147	0.00225765
1	217	-5.9716	-5.95156	0.00224916
1	218	-5.9731	-5.95166	0.00224101
1	219	-5.97445	-5.95177	0.00223319
1	220	-5.97549	-5.95188	0.00222564
1	221	-5.97683	-5.95199	0.00221843
1	222	-5.97802	-5.95211	0.00221153
1	223	-5.97906	-5.95223	0.00220492
1	224	-5.98039	-5.95235	0.00219865
1	225	-5.98202	-5.95248	0.00219283
1	226	-5.98334	-5.95262	0.00218738
1	227	-5.98495	-5.95276	0.00218237
1	228	-5.98655	-5.95291	0.00217783
1	229	-5.98784	-5.95306	0.00217365
1	230	-5.98943	-5.95322	0.00216994
1	231	-5.99024	-5.95338	0.00216646
1	232	-5.9918	-5.95355	0.00216344
1	233	-5.99305	-5.95372	0.00216079
1	234	-5.99443	-5.95389	0.00215855
1	235	-5.99595	-5.95407	0.00215677
1	236	-5.99714	-5.95425	0.00215534
1	237	-5.99818	-5.95444	0.0021542
1	238	-5.9998	-5.95463	0.00215356
1	239	-6.0011	-5.95482	0.00215331
1	240	-6.00239	-5.95502	0.00215344
1	241	-6.00366	-5.95522	0.00215394
1	242	-6.00492	-5.95543	0.00215481
1	243	-6.00631	-5.95564	0.00215609
1	244	-6.00723	-5.95585	0.00215759
1	245	-6.00828	-5.95606	0.00215938
1	246	-6.00978	-5.95628	0.00216161
1	247	-6.01081	-5.9565	0.0021641
1	248	-6.01243	-5.95673	0.00216709
1	249	-6.01327	-5.95696	0.00217026
1	250	-6.01441	-5.95718	0.00217371
1	251	-6.01508	-5.95742	0.00217726
1	252	-6.01559	-5.95765	0.00218082
1	253	-6.01654	-5.95788	0.00218459
1	254	-6.01718	-5.95811	0.00218843
1	255	-6.01811	-5.95835	0.00219246
1	256	-6.01888	-5.95858	0.00219661
1	257	-6.01995	-5.95882	0.002201
1	258	-6.0207	-5.95906	0.0022055
1	259	-6.0219	-5.95931	0.00221028
1	260	-6.02279	-5.95955	0.00221523
1	261	-6.02336	-5.95979	0.00222019
1	262	-6.02424	-5.96004	0.0022253
1	263	-6.0251	-5.96029	0.00223055
1	264	-6.0258	-5.96054	0.00223586
1	265	-6.02649	-5.96078	0.00224123
1	266	-6.02717	-5.96103	0.00224666
1	267	-6.02739	-5.96128	0.00225195
1	268	-6.02851	-5.96153	0.00225748
1	269	-6.02961	-5.96179	0.00226323
1	270	-6.03055	-5.96204	0.00226913
1	271	-6.03117	-5.9623	0.00227505
1	272	-6.03193	-5.96255	0.00228105
1	273	-6.03268	-5.96281	0.00228711
1	274	-6.0337	-5.96307	0.00229335
1	275	-6.03456	-5.96333	0.0022997
1	276	-6.0357	-5.96359	0.00230627
1	277	-6.03636	-5.96385	0.00231285
1	278	-6.03685	-5.96412	0.00231939
1	279	-6.03762	-5.96438	0.002326
1	280	-6.03821	-5.96464	0.00233259
1	281	-6.03909	-5.96491	0.00233928
1	282	-6.03963	-5.96517	0.00234595
1	283	-6.04015	-5.96544	0.00235257
1	284	-6.04094	-5.9657	0.00235926
1	285	-6.04171	-5.96597	0.00236601
1	286	-6.04215	-5.96624	0.00237268
1	287	-6.0421	-5.9665	0.00237909
1	288	-6.04324	-5.96677	0.0023857
1	289	-6.04345	-5.96703	0.00239216
1	290	-6.04332	-5.9673	0.00239833
1	291	-6.04362	-5.96756	0.00240439
1	292	-6.04405	-5.96782	0.00241038
1	293	-6.04459	-5.96808	0.00241635
1	294	-6.04496	-5.96834	0.00242224
1	295	-6.04544	-5.9686	0.00242809
1	296	-6.04605	-5.96887	0.00243394
1	297	-6.04588	-5.96913	0.00243952
1	298	-6.04599	-5.96938	0.00244493
1	299	-6.04576	-5.96964	0.00245006
1	300	-6.0458	-5.96989	0.00245501
1	301	-6.04552	-5.97014	0.00245968
1	302	-6.04535	-5.97039	0.00246411
1	303	-6.04561	-5.97064	0.00246845
1	304	-6.04569	-5.97089	0.00247264
1	305	-6.04529	-5.97113	0.00247654
1	306	-6.0447	-5.97137	0.00248009
1	307	-6.04498	-5.97161	0.00248357
1	308	-6.04508	-5.97185	0.00248694
1	309	-6.04499	-5.97209	0.00249013
1	310	-6.04472	-5.97232	0.00249309
1	311	-6.04411	-5.97255	0.00249574
1	312	-6.04361	-5.97278	0.00249811
1	313	-6.04323	-5.97301	0.00250025
1	314	-6.04265	-5.97323	0.00250211
1	315	-6.04233	-5.97345	0.00250376
1	316	-6.04196	-5.97366	0.00250521
1	317	-6.04171	-5.97388	0.00250648
1	318	-6.0408	-5.97409	0.00250742
1	319	-6.04015	-5.9743	0.0025081
1	320	-6.03914	-5.9745	0.00250843
1	321	-6.03809	-5.9747	0.00250843
1	322	-6.03699	-5.97489	0.00250809
1	323	-6.03645	-5.97508	0.00250755
