           1     1.31359     1.31359           0
           2     1.43759     1.37559   0.0438403
           3     1.40381     1.38499   0.0302194
           4     1.37908     1.38352   0.0227007
           5     1.36091     1.37899   0.0186054
           6     1.44259     1.38959   0.0182763
           7     1.39994     1.39107    0.015725
           8     1.27372      1.3764    0.019432
           9     1.43962     1.38343    0.018499
          10     1.39272     1.38436   0.0166724
          11     1.44591     1.38995   0.0160684
          12      1.4532     1.39522   0.0155697
          13     1.43684     1.39842   0.0146973
          14     1.31942     1.39278   0.0146911
          15     1.40757     1.39377   0.0137448
          16     1.36797     1.39216   0.0129799
          17      1.4477     1.39542   0.0126209
          18     1.41693     1.39662   0.0119762
          19     1.29975     1.39152   0.0123835
          20     1.44067     1.39398   0.0120056
          21     1.45858     1.39705   0.0118215
          22     1.39925     1.39715   0.0112846
          23     1.30161       1.393   0.0115332
          24     1.29866     1.38907   0.0117034
          25     1.52035     1.39432   0.0123574
          26      1.2157     1.38745   0.0136589
          27     1.44009      1.3894   0.0132914
          28     1.48781     1.39291   0.0132733
          29     1.58111      1.3994   0.0143144
          30     1.57103     1.40512   0.0149368
