BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
88	2.28282	1.08177
89	2.30847	1.04007
90	2.33412	0.996739
91	2.35977	0.975097
92	2.38542	0.967326
93	2.41107	0.947938
94	2.43672	0.916003
95	2.46237	0.895347
96	2.48802	0.885883
97	2.51366	0.899578
98	2.53931	0.891311
99	2.56496	0.879997

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000137558
35	0.923387	0.0192711
36	0.949037	0.154809
37	0.974686	0.55999
38	1.00034	1.23558
39	1.02599	1.83493
40	1.05164	2.35488
41	1.07728	2.5826
42	1.10293	2.60627
43	1.12858	2.36253
44	1.15423	2.13887
45	1.17988	1.89697
46	1.20553	1.72799
47	1.23118	1.55377
48	1.25683	1.37806
49	1.28248	1.2774
50	1.30813	1.15298
51	1.33378	0.994003
52	1.35943	0.953785
53	1.38508	0.875179
54	1.41073	0.822484
55	1.43638	0.781896
56	1.46203	0.721244
57	1.48768	0.697301
58	1.51333	0.729181
59	1.53898	0.708793
60	1.56463	0.727323
61	1.59028	0.723834
62	1.61593	0.712608
63	1.64158	0.710414
64	1.66723	0.710623
65	1.69288	0.718198
66	1.71853	0.736884
67	1.74418	0.748753
68	1.76983	0.784978
69	1.79547	0.843489
70	1.82112	0.868432
71	1.84677	0.90383
72	1.87242	0.949532
73	1.89807	0.986196
74	1.92372	1.04756
75	1.94937	1.09333
76	1.97502	1.15014
77	2.00067	1.15823
78	2.02632	1.18293
79	2.05197	1.19996
80	2.07762	1.18324
81	2.10327	1.2041
82	2.12892	1.20787
83	2.15457	1.19068
84	2.18022	1.18676
85	2.20587	1.15497
86	2.23152	1.13493
87	2.25717	1.11929
88	2.28282	1.04453
89	2.30847	1.05421
90	2.33412	1.02763
91	2.35977	1.02265
92	2.38542	0.959314
93	2.41107	0.922872
94	2.43672	0.937981
95	2.46237	0.927501
96	2.48802	0.905184
97	2.51366	0.91795
98	2.53931	0.901657
99	2.56496	0.910704

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
