BLOCK	CHI
1	1.0000020016140492
2	0.9987769876446976
3	0.9963932359096822
4	0.9936246886555986
5	0.9908031543642264
6	0.9877868005057161
7	0.9842253727312872
8	0.9803371167622382
9	0.9761131033643702
10	0.9716523683297592
11	0.9670156356852052
12	0.9624152190077062
13	0.9578577929289052
14	0.9534321951869258
15	0.9490329004952321
16	0.9444678547127793
17	0.93980585035806
18	0.9349824781080927
19	0.9301550706429743
20	0.9253906262983381
21	0.9206803292486259
22	0.9160370140563681
23	0.9113254433403795
24	0.9066832932522801
25	0.9022595565751795
26	0.8981409947966962
27	0.8942744590056692
28	0.8905998639470459
29	0.887111428688047
30	0.8837259171019726
31	0.8803594339349782
32	0.8770697691287661
33	0.8738421950688742
34	0.8705805189336894
35	0.8672424741950681
36	0.8638726314182459
37	0.8605297857138202
38	0.8571767342010052
39	0.8538061460289268
40	0.8504302576991627
41	0.8470838459230241
42	0.8437344767984769
43	0.8403259170870453
44	0.8368499131598534
45	0.8333445276708888
46	0.8298961886669797
47	0.826512192104033
48	0.8231709806472041
49	0.8198452935732382
50	0.8164835638761216
51	0.8131461297994136
52	0.80985739746425
53	0.8066248499023307
54	0.8034373265402113
55	0.8002763059051301
56	0.797111216129236
57	0.7939519993700606
58	0.7907794207466389
59	0.7875607429645891
60	0.7843323217324555
61	0.7811285082368197
62	0.7779996588222198
63	0.7749478410154194
64	0.7719484858521058
65	0.7689650292232404
66	0.7659749309190892
67	0.7630096565063668
68	0.760085665746899
69	0.7572034190603822
70	0.7543457956192372
71	0.7514729502182719
72	0.7486027926990297
73	0.7457348035142322
74	0.7428735461500505
75	0.7399911889628066
76	0.7370755138677109
77	0.7341233812870851
78	0.7311436603582419
79	0.7281583232784052
80	0.725198433352871
81	0.722302177306619
82	0.7194776401095206
83	0.7167486249752354
84	0.7141002172135088
85	0.7114595357789427
86	0.7087880779532498
87	0.7060898547189653
88	0.7033893623425554
89	0.7007040996804029
90	0.6980373361970056
91	0.6954259558719281
92	0.6928673221965925
93	0.6903460474600875
94	0.6878528350617613
95	0.6853889082640497
96	0.6829362447860728
97	0.6805090934058081
98	0.6781258108142311
99	0.6758155740498383
100	0.6735873579041465
101	0.6714060948744568
102	0.6692575041957393
103	0.6671254547004358
104	0.6650023829045628
105	0.6629012144852856
106	0.6608059152055087
107	0.6587197884553917
108	0.6566136000074652
109	0.6544990183507966
110	0.6523924489661527
111	0.6502977351463689
112	0.6482307017587419
113	0.6461906082545387
114	0.6441943234421363
115	0.6422505158127902
116	0.6403685662966545
117	0.638512077505086
118	0.6366985066143686
119	0.6349377618563721
120	0.6332206551925625
121	0.6315326102199996
122	0.6298491045009923
123	0.6281511406342086
124	0.6264256446388756
125	0.6246625609488207
126	0.6228914901886613
127	0.6211474950145731
128	0.6194385595887467
129	0.6177633375470588
130	0.6161114844705589
131	0.6144823693419361
132	0.6128734021792347
133	0.6112959529256976
134	0.6097673924894976
135	0.6082958436433864
136	0.6068818278732518
137	0.6055249293474102
138	0.6042194039666576
139	0.6029534126443127
140	0.6017146713828713
141	0.6005181898644412
142	0.5993929997318254
143	0.5983301746587385
144	0.5973233056030046
145	0.5963850827007652
146	0.5955046923896314
147	0.5946960306206975
148	0.5939601626597457
149	0.5932829482909162
150	0.5926784841113607
151	0.5921440502523032
152	0.5916747042294644
153	0.5912569513838646
154	0.5908723361554563
155	0.5905241115305591
156	0.5902236319435421
157	0.5899674612095122
158	0.5897335311700873
159	0.5895114848053566
160	0.5893009877052248
161	0.5890996631347529
162	0.5888974400188943
163	0.5887071703676628
164	0.5885421249306702
165	0.5884061547551886
166	0.5882978659811685
167	0.5882173778330786
168	0.5881697597741041
169	0.5881491853141482
170	0.5881510987214766
171	0.5881725513714221
172	0.5882058275991752
