BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
87	2.25717	1.10648
88	2.28282	1.06432
89	2.30847	1.03191
90	2.33412	1.01015
91	2.35977	0.987366
92	2.38542	0.971364
93	2.41107	0.948925
94	2.43672	0.934986
95	2.46237	0.922977
96	2.48802	0.908431
97	2.51366	0.894996
98	2.53931	0.889793
99	2.56496	0.886204

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00165069
35	0.923387	0.0268064
36	0.949037	0.164436
37	0.974686	0.568645
38	1.00034	1.1848
39	1.02599	1.87085
40	1.05164	2.33584
41	1.07728	2.51922
42	1.10293	2.55188
43	1.12858	2.39365
44	1.15423	2.18525
45	1.17988	1.95955
46	1.20553	1.76711
47	1.23118	1.57755
48	1.25683	1.38632
49	1.28248	1.24093
50	1.30813	1.14397
51	1.33378	1.02964
52	1.35943	0.955706
53	1.38508	0.885533
54	1.41073	0.829944
55	1.43638	0.785298
56	1.46203	0.751746
57	1.48768	0.712372
58	1.51333	0.686727
59	1.53898	0.674738
60	1.56463	0.66656
61	1.59028	0.663862
62	1.61593	0.670328
63	1.64158	0.678944
64	1.66723	0.693555
65	1.69288	0.716391
66	1.71853	0.746116
67	1.74418	0.776449
68	1.76983	0.815593
69	1.79547	0.852709
70	1.82112	0.895028
71	1.84677	0.941057
72	1.87242	0.975896
73	1.89807	1.01853
74	1.92372	1.06375
75	1.94937	1.09076
76	1.97502	1.11878
77	2.00067	1.15452
78	2.02632	1.17859
79	2.05197	1.19769
80	2.07762	1.21052
81	2.10327	1.20919
82	2.12892	1.19847
83	2.15457	1.19632
84	2.18022	1.17543
85	2.20587	1.15549
86	2.23152	1.12591
87	2.25717	1.10567
88	2.28282	1.06987
89	2.30847	1.04968
90	2.33412	1.02566
91	2.35977	1.00231
92	2.38542	0.975338
93	2.41107	0.955474
94	2.43672	0.938476
95	2.46237	0.920433
96	2.48802	0.908126
97	2.51366	0.897184
98	2.53931	0.880173
99	2.56496	0.880724

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00137558
35	0.923387	0.0249009
36	0.949037	0.15612
37	0.974686	0.55642
38	1.00034	1.18101
39	1.02599	1.87949
40	1.05164	2.3397
41	1.07728	2.53579
42	1.10293	2.54862
43	1.12858	2.40842
44	1.15423	2.21436
45	1.17988	1.97294
46	1.20553	1.75139
47	1.23118	1.56011
48	1.25683	1.39458
49	1.28248	1.24158
50	1.30813	1.12548
51	1.33378	1.02137
52	1.35943	0.944815
53	1.38508	0.859085
54	1.41073	0.818937
55	1.43638	0.779805
56	1.46203	0.740615
57	1.48768	0.707668
58	1.51333	0.697508
59	1.53898	0.685961
60	1.56463	0.676654
61	1.59028	0.682059
62	1.61593	0.681017
63	1.64158	0.688391
64	1.66723	0.701243
65	1.69288	0.717485
66	1.71853	0.744857
67	1.74418	0.77894
68	1.76983	0.816302
69	1.79547	0.845625
70	1.82112	0.894633
71	1.84677	0.937246
72	1.87242	0.981306
73	1.89807	1.01577
74	1.92372	1.05562
75	1.94937	1.07851
76	1.97502	1.12405
