BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000810063	8.99909e-05
35	0.923387	0.0240925	0.00113247
36	0.949037	0.162074	0.00362773
37	0.974686	0.553574	0.00164965
38	1.00034	1.19428	0.00744608
39	1.02599	1.84667	0.0028343
40	1.05164	2.33222	0.0109629
41	1.07728	2.56919	0.00660391
42	1.10293	2.53728	0.0058222
43	1.12858	2.41925	0.00470703
44	1.15423	2.21219	0.00432974
45	1.17988	1.98078	0.00456392
46	1.20553	1.76841	0.00133994
47	1.23118	1.56949	0.00541575
48	1.25683	1.40359	0.00418037
49	1.28248	1.25077	0.00194721
50	1.30813	1.12802	0.00234266
51	1.33378	1.02599	0.00374038
52	1.35943	0.943132	0.00729586
53	1.38508	0.872414	0.00359984
54	1.41073	0.810962	0.00364946
55	1.43638	0.771489	0.00164871
56	1.46203	0.729998	0.00224663
57	1.48768	0.704019	4.85973e-05
58	1.51333	0.681183	0.00238328
59	1.53898	0.668859	0.00472107
60	1.56463	0.664303	0.00219619
61	1.59028	0.665257	0.000915035
62	1.61593	0.670347	0.0031013
63	1.64158	0.683988	0.00241708
64	1.66723	0.693752	0.0023685
65	1.69288	0.716378	0.00139514
66	1.71853	0.749111	0.00486131
67	1.74418	0.781104	0.000957219
68	1.76983	0.813747	0.00107283
69	1.79547	0.85512	0.00228953
70	1.82112	0.895467	0.00181306
71	1.84677	0.942306	0.0042327
72	1.87242	0.981853	0.00422894
73	1.89807	1.0261	0.00637941
74	1.92372	1.06085	0.00479047
75	1.94937	1.10433	0.00369215
76	1.97502	1.14026	0.00394153
77	2.00067	1.16529	0.00340026
78	2.02632	1.18742	0.00339679
79	2.05197	1.20932	0.00176525
80	2.07762	1.21675	0.00234456
81	2.10327	1.21859	0.00183843
82	2.12892	1.21279	0.00259016
83	2.15457	1.1949	0.00212152
84	2.18022	1.17843	0.00373643
85	2.20587	1.1505	0.00071339
86	2.23152	1.12512	0.00188316
87	2.25717	1.09562	0.00609627
88	2.28282	1.0639	0.00120813
89	2.30847	1.03228	0.00286438
90	2.33412	1.00502	0.0029815
91	2.35977	0.980554	0.00360328
92	2.38542	0.96291	0.00369955
93	2.41107	0.941112	0.00417987
94	2.43672	0.926591	0.00404484
95	2.46237	0.912606	0.00431577
96	2.48802	0.90281	0.00386019
97	2.51366	0.891285	0.00170187
98	2.53931	0.886457	0.00228415
99	2.56496	0.883935	0.00136269

0	0.0256496	0	0
1	0.0512993	0	0
