Step	Energy
349	-5.47261
350	-5.48275
351	-5.36643
352	-5.35614
353	-5.28183
354	-5.33301
355	-5.33147
356	-5.38333
357	-5.33979
358	-5.381
359	-5.39815
360	-5.36823
361	-5.36731
362	-5.48743
363	-5.52099
364	-5.51793
365	-5.51465
366	-5.44112
367	-5.48809
368	-5.54542
369	-5.53626
370	-5.54321
371	-5.4549
372	-5.37848
373	-5.4613
374	-5.48062
375	-5.47717
376	-5.42932
377	-5.34476
378	-5.26687
379	-5.37918
380	-5.42151
381	-5.41813
382	-5.50467
383	-5.45861
384	-5.45085
385	-5.41666
386	-5.43817
387	-5.40783
388	-5.33088
389	-5.31535
390	-5.20982
391	-5.2827
392	-5.33507
393	-5.3622
394	-5.32411
395	-5.35436
396	-5.34525
397	-5.34621
398	-5.41442
399	-5.47683
400	-5.409
401	-5.43737
402	-5.42672
403	-5.38905
404	-5.42102
405	-5.36267
406	-5.32889
407	-5.41644
408	-5.39135
409	-5.458
410	-5.44904
411	-5.45767
412	-5.41304
413	-5.52268
414	-5.48732
415	-5.54416
416	-5.49906
417	-5.41172
418	-5.55711
419	-5.55551
420	-5.46667
421	-5.48659
422	-5.51837
423	-5.5608
424	-5.61381
425	-5.54463
426	-5.48785
427	-5.4034
428	-5.41487
429	-5.3871
430	-5.39624
431	-5.39177
432	-5.37974
433	-5.44123
434	-5.33415
435	-5.30958
436	-5.34553
437	-5.28992
438	-5.33573
439	-5.35017
440	-5.42741
441	-5.49545
442	-5.47786
443	-5.47079
444	-5.54613
445	-5.60676
446	-5.54818
447	-5.48449
448	-5.57049
449	-5.54043
450	-5.48916
451	-5.46319
452	-5.50748
453	-5.51899
454	-5.46388
455	-5.53696
456	-5.51091
457	-5.48435
458	-5.44398
459	-5.40593
460	-5.38922
461	-5.41147
462	-5.4038
463	-5.46051
464	-5.41439
465	-5.41936
466	-5.35594
467	-5.35111
468	-5.42866
469	-5.51602
470	-5.49166
471	-5.45129
472	-5.49803
473	-5.51344
474	-5.52724
475	-5.40611
476	-5.43377
477	-5.45958
478	-5.4472
479	-5.55086
480	-5.52618
481	-5.43666
482	-5.52215
483	-5.50515
484	-5.37382
485	-5.37204
486	-5.3454
487	-5.38149
488	-5.4441
489	-5.46934
490	-5.42472
491	-5.34668
492	-5.40368
493	-5.42401
494	-5.3943
495	-5.5084
496	-5.47426
497	-5.4777
498	-5.40311
499	-5.37703
500	-5.39968
501	-5.29527
502	-5.26475
503	-5.16337
504	-5.28329
505	-5.29574
506	-5.3349
507	-5.28926
508	-5.331
509	-5.2715
510	-5.32464
511	-5.39462
512	-5.36516
513	-5.33581
514	-5.35651
515	-5.44429
516	-5.4757
517	-5.41566
518	-5.3386
519	-5.39792
520	-5.37783
521	-5.39525
522	-5.39807
523	-5.40996
524	-5.33785
525	-5.36291
526	-5.39786
527	-5.2904
528	-5.31241
529	-5.37258
530	-5.33454
531	-5.38366
532	-5.45162
533	-5.46732
534	-5.60096
535	-5.64347
536	-5.61418
537	-5.60709
538	-5.5892
539	-5.57607
540	-5.52804
541	-5.49987
542	-5.48232
543	-5.43346
544	-5.41188
545	-5.40349
546	-5.40784
547	-5.4512
548	-5.45025
549	-5.42919
