BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.00100876	0.000438739
35	0.923387	0.0224036	0.00183281
36	0.949037	0.153007	0.0042325
37	0.974686	0.568503	0.00855907
38	1.00034	1.1952	0.0149295
39	1.02599	1.85582	0.012717
40	1.05164	2.3544	0.0211289
41	1.07728	2.58273	0.004821
42	1.10293	2.58645	0.00399009
43	1.12858	2.39773	0.0179532
44	1.15423	2.18966	0.0187081
45	1.17988	1.97779	0.00486737
46	1.20553	1.72724	0.00993506
47	1.23118	1.53152	0.0110957
48	1.25683	1.38333	0.0111896
49	1.28248	1.24193	0.0127184
50	1.30813	1.12431	0.00995197
51	1.33378	1.03573	0.0108999
52	1.35943	0.93228	0.00883264
53	1.38508	0.861971	0.00796043
54	1.41073	0.816377	0.0126076
55	1.43638	0.779298	0.00802169
56	1.46203	0.748526	0.00697819
57	1.48768	0.723977	0.0129376
58	1.51333	0.676069	0.0138924
59	1.53898	0.659481	0.0113498
60	1.56463	0.679363	0.0151925
61	1.59028	0.677008	0.0118675
62	1.61593	0.669285	0.0210772
63	1.64158	0.677716	0.00353066
64	1.66723	0.717248	0.00190452
65	1.69288	0.736402	0.00718871
66	1.71853	0.743544	0.00221597
67	1.74418	0.764502	0.00285496
68	1.76983	0.809649	0.0066244
69	1.79547	0.849207	0.00399895
70	1.82112	0.905145	0.00193301
71	1.84677	0.953794	0.00193903
72	1.87242	0.989302	0.0127159
73	1.89807	1.02067	0.015525
74	1.92372	1.0602	0.0137683
75	1.94937	1.09629	0.0105646
76	1.97502	1.11112	0.0124054
77	2.00067	1.13995	0.0113461
78	2.02632	1.17938	0.0118487
79	2.05197	1.20878	0.00404652
80	2.07762	1.21399	0.00625271
81	2.10327	1.23045	0.00383128
82	2.12892	1.22607	0.00478094
83	2.15457	1.20341	0.0109628
84	2.18022	1.18484	0.0103209
85	2.20587	1.1494	0.015106
86	2.23152	1.12215	0.00160665
87	2.25717	1.08728	0.00560681
88	2.28282	1.06672	0.00705968
89	2.30847	1.04293	0.00122667
90	2.33412	1.01038	0.00794155
91	2.35977	0.980582	0.00730605
92	2.38542	0.959995	0.00369757
93	2.41107	0.942912	0.00214324
94	2.43672	0.920878	0.00771317
95	2.46237	0.898552	0.0025493
96	2.48802	0.896886	0.00586349
97	2.51366	0.900024	0.00115791
98	2.53931	0.896419	0.00283095
99	2.56496	0.890462	0.00557902

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000790957	0.000379281
35	0.923387	0.0216205	0.00153281
36	0.949037	0.153457	0.00319827
37	0.974686	0.566375	0.00667862
38	1.00034	1.20529	0.0142058
39	1.02599	1.8506	0.0105562
40	1.05164	2.35452	0.015847
41	1.07728	2.58269	0.00361585
42	1.10293	2.5914	0.00523187
43	1.12858	2.38893	0.0154718
44	1.15423	2.17696	0.0178274
45	1.17988	1.95759	0.0178766
46	1.20553	1.72743	0.00745306
47	1.23118	1.53708	0.00961597
48	1.25683	1.38201	0.00846929
49	1.28248	1.2508	0.0122457
50	1.30813	1.13148	0.00970781
51	1.33378	1.0253	0.0121836
52	1.35943	0.937657	0.00809697
53	1.38508	0.865273	0.00661983
54	1.41073	0.817904	0.00954771
55	1.43638	0.779947	0.00604252
56	1.46203	0.741705	0.0078917
57	1.48768	0.717308	0.0112921
58	1.51333	0.689347	0.0155175
59	1.53898	0.671809	0.0136546
60	1.56463	0.691353	0.0154159
61	1.59028	0.688714	0.0134909
62	1.61593	0.680115	0.0183812
63	1.64158	0.685891	0.00755823
64	1.66723	0.715592	0.00202429
65	1.69288	0.731851	0.00667858
66	1.71853	0.741879	0.00220038
67	1.74418	0.760565	0.00402619
68	1.76983	0.803481	0.00729483
69	1.79547	0.847777	0.00324462
70	1.82112	0.895967	0.00807985
71	1.84677	0.941303	0.0109149
72	1.87242	0.979359	0.0128487
73	1.89807	1.01205	0.0138307
74	1.92372	1.05704	0.010683
75	1.94937	1.09555	0.00794921
76	1.97502	1.12088	0.0125674
77	2.00067	1.14452	0.00938436
78	2.02632	1.18027	0.00891979
79	2.05197	1.20657	0.00358566
80	2.07762	1.2063	0.00814193
81	2.10327	1.22386	0.00638756
82	2.12892	1.22152	0.00532775
83	2.15457	1.20023	0.00867197
84	2.18022	1.18532	0.00775183
85	2.20587	1.15079	0.0113933
86	2.23152	1.12535	0.00301746
87	2.25717	1.09529	0.0081051
88	2.28282	1.06118	0.00714953
89	2.30847	1.04575	0.00260998
90	2.33412	1.01469	0.00702954
91	2.35977	0.9911	0.01063
92	2.38542	0.959825	0.00277708
93	2.41107	0.937902	0.00462709
94	2.43672	0.925154	0.00686847
95	2.46237	0.905789	0.00655271
96	2.48802	0.898961	0.00475039
97	2.51366	0.904505	0.0039772
98	2.53931	0.897729	0.00240703
99	2.56496	0.895522	0.0060592

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000807006	0.000303764
35	0.923387	0.0208648	0.00140019
36	0.949037	0.153826	0.00257978
37	0.974686	0.572309	0.00753107
38	1.00034	1.20166	0.0118204
39	1.02599	1.85332	0.00878876
40	1.05164	2.33596	0.0208843
41	1.07728	2.56768	0.0137374
42	1.10293	2.59089	0.00421064
43	1.12858	2.40462	0.0187152
44	1.15423	2.18022	0.0145562
45	1.17988	1.9694	0.0177839
46	1.20553	1.7338	0.00824828
47	1.23118	1.53011	0.00990251
