TEMPERATURE	CV_AVE	ERROR
2	0.192675	2.21935e-05
1.82	0.221857	3.74544e-05
1.64	0.256509	4.88208e-05
1.46	0.297034	7.67444e-05
1.28	0.342784	0.000134522
1.1	0.38881	0.00015334
0.92	0.424513	0.000390838
0.74	0.420784	0.000827103
0.56	0.296587	0.00273219
0.38	0.0331528	0.00266729
0.2	0	0
