TEMPERATURE	M_AVE	ERROR
2	0.0274513	0.00029159
1.82	0.0326712	0.000324036
1.64	0.0409748	0.000421239
1.46	0.0536367	0.000526637
1.28	0.0756888	0.000950724
1.1	0.111551	0.00117117
0.92	0.188266	0.00182594
0.74	0.369887	0.00366574
0.56	0.772355	0.00625471
0.38	0.985382	0.00617
0.2	1	0
