TEMPERATURE	CV_AVE	ERROR
2	0.192663	2.40888e-05
1.82	0.221873	3.67131e-05
1.64	0.256602	4.18336e-05
1.46	0.29725	7.58534e-05
1.28	0.342772	0.000122537
1.1	0.389046	0.000254979
0.92	0.424148	0.000273646
0.74	0.42077	0.000639214
0.56	0.292323	0.00226774
0.38	0.0336593	0.00140157
0.2	0	0
