TEMPERATURE	U_AVE	ERROR
2	-0.462181	0.0001041
1.82	-0.500145	0.000122934
1.64	-0.544065	0.000122228
1.46	-0.594915	0.000135309
1.28	-0.653396	0.000173672
1.1	-0.721048	0.000131113
0.92	-0.795838	0.000207528
0.74	-0.874526	0.000255802
0.56	-0.95102	0.000454844
0.38	-0.997506	0.000200635
0.2	-1	0
