TEMPERATURE	M_AVE	ERROR
2	0.0269896	0.000490878
1.82	0.0330917	0.000640816
1.64	0.0402832	0.000608051
1.46	0.0537032	0.00081287
1.28	0.0765923	0.000998915
1.1	0.114319	0.001238
0.92	0.191412	0.00240351
0.74	0.373003	0.00418766
0.56	0.773046	0.00691852
0.38	0.986134	0.0096559
0.2	1	0
