TEMPERATURE	U_AVE	ERROR
2	-0.462187	0.000107306
1.82	-0.500084	0.000126552
1.64	-0.543846	0.000103265
1.46	-0.594516	0.000135056
1.28	-0.65341	0.000154857
1.1	-0.720854	0.000212666
0.92	-0.796029	0.000142125
0.74	-0.874525	0.000200848
0.56	-0.951716	0.000376081
0.38	-0.997468	0.000105504
0.2	-1	0
