TEMPERATURE:	X_AVE:	ERROR:
2	1.35869	0.00302844
1.82	1.64518	0.00404094
1.64	2.05946	0.00430226
1.46	2.70162	0.00623153
1.28	3.69814	0.0110492
1.1	5.60824	0.0201121
0.92	9.59617	0.045144
0.74	20.0277	0.155428
0.56	55.5118	0.386823
0.38	128.777	0.271803
0.2	250	8.52992e-07
