INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
17	3.39411	3.58267	0	0.0219	0.0127956
18	3.58267	3.77124	0	0	0
19	3.77124	3.9598	0	0	0
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.7265	1.46142	0.411098
1	0.377124	0.565685	2.485	2.33758	0.564336
2	0.565685	0.754247	7.0215	4.0595	0.993579
3	0.754247	0.942809	5.6745	4.80975	1.01941
4	0.942809	1.13137	10.0465	8.48408	1.55651
5	1.13137	1.31993	9.0145	9.56142	1.63947
6	1.31993	1.50849	12.267	26.0482	10.3992
7	1.50849	1.69706	14.196	15.0471	1.95451
8	1.69706	1.88562	11.135	10.5569	0.945623
9	1.88562	2.07418	9.412	8.526	1.37064
10	2.07418	2.26274	7.206	5.923	1.11499
11	2.26274	2.4513	8.0095	4.63817	1.18121
12	2.4513	2.63987	3.4675	2.54475	0.572109
13	2.63987	2.82843	2.4615	1.75942	0.385903
14	2.82843	3.01699	1.8775	1.05958	0.277994
15	3.01699	3.20555	0.5215	0.438833	0.130786
16	3.20555	3.39411	0.2195	0.167417	0.0488846
17	3.39411	3.58267	0.1085	0.0363333	0.01695
18	3.58267	3.77124	0	0	0
19	3.77124	3.9598	0	0	0
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.377	1.44936	0.352546
1	0.377124	0.565685	2.3095	2.33357	0.483731
2	0.565685	0.754247	5.3545	4.2445	0.868691
3	0.754247	0.942809	8.0755	5.27629	0.974709
4	0.942809	1.13137	11.092	8.85664	1.37801
5	1.13137	1.31993	10.6265	9.71357	1.4123
6	1.31993	1.50849	12.572	24.1231	9.09009
7	1.50849	1.69706	12.8995	14.7403	1.6992
8	1.69706	1.88562	11.8435	10.7407	0.828203
9	1.88562	2.07418	9.814	8.71	1.18712
10	2.07418	2.26274	6.585	6.01757	0.959711
11	2.26274	2.4513	6.264	4.87043	1.03505
12	2.4513	2.63987	4.405	2.8105	0.54864
13	2.63987	2.82843	2.926	1.92607	0.36499
14	2.82843	3.01699	1.215	1.08179	0.239166
15	3.01699	3.20555	0.285	0.416857	0.113934
16	3.20555	3.39411	0.1085	0.159	0.0426195
17	3.39411	3.58267	0.0835	0.0430714	0.0158112
18	3.58267	3.77124	0	0	0
19	3.77124	3.9598	0	0	0
20	3.9598	4.14836	0	0	0
21	4.14836	4.33692	0	0	0
22	4.33692	4.52548	0	0	0
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
