#   N_BLOCK:  ACCEPTANCE:
          18    0.329234
          19    0.328548
          20    0.327859
           1    0.327101
           2     0.32635
           3    0.325612
           4    0.324854
           5    0.324122
           6    0.323385
           7    0.322656
           8    0.321937
           9    0.321207
          10    0.320489
          11    0.319767
          12    0.319058
          13    0.318341
          14    0.317627
          15     0.31692
          16    0.316222
          17    0.315536
          18     0.31485
          19    0.314159
          20    0.313463
