T_SIGN	BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	159	1.68209	1.59946	0.00292485
1	160	1.6861	1.60001	0.00295627
1	161	1.69012	1.60057	0.00299043
1	162	1.69414	1.60114	0.00302724
1	163	1.69813	1.60174	0.00306658
1	164	1.70207	1.60235	0.00310831
1	165	1.70595	1.60298	0.00315226
1	166	1.70975	1.60362	0.00319821
1	167	1.71344	1.60428	0.00324596
1	168	1.71701	1.60495	0.00329526
1	169	1.72044	1.60563	0.00334588
1	170	1.72372	1.60633	0.00339754
1	171	1.72684	1.60703	0.00344999
1	172	1.72978	1.60775	0.00350296
1	173	1.73252	1.60847	0.00355619
1	174	1.73507	1.6092	0.00360942
1	175	1.7374	1.60993	0.00366239
1	176	1.73952	1.61066	0.00371486
1	177	1.74141	1.6114	0.00376659
1	178	1.74307	1.61214	0.00381737
1	179	1.74451	1.61288	0.003867
1	180	1.74571	1.61362	0.0039153
1	181	1.74669	1.61436	0.00396209
1	182	1.74746	1.61509	0.00400725
1	183	1.748	1.61581	0.00405064
1	184	1.74835	1.61653	0.00409217
1	185	1.74849	1.61725	0.00413174
1	186	1.74846	1.61795	0.00416932
1	187	1.74826	1.61865	0.00420485
1	188	1.74791	1.61934	0.00423832
1	189	1.74743	1.62001	0.00426974
1	190	1.74685	1.62068	0.00429914
1	191	1.74618	1.62134	0.00432655
1	192	1.74545	1.62199	0.00435204
1	193	1.74468	1.62262	0.00437567
1	194	1.74389	1.62325	0.00439754
1	195	1.74312	1.62386	0.00441774
1	196	1.74238	1.62447	0.00443639
1	197	1.7417	1.62506	0.00445361
1	198	1.7411	1.62565	0.00446951
1	199	1.7406	1.62622	0.00448422
1	200	1.74023	1.62679	0.00449789
1	201	1.74	1.62736	0.00451064
1	202	1.73993	1.62791	0.00452261
1	203	1.74004	1.62847	0.00453393
1	204	1.74032	1.62902	0.00454474
1	205	1.74079	1.62956	0.00455515
1	206	1.74145	1.6301	0.00456531
1	207	1.7423	1.63065	0.00457532
1	208	1.74335	1.63119	0.0045853
1	209	1.74458	1.63173	0.00459534
1	210	1.74598	1.63227	0.00460555
1	211	1.74754	1.63282	0.004616
1	212	1.74925	1.63337	0.00462678
1	213	1.75109	1.63392	0.00463795
1	214	1.75304	1.63448	0.00464956
1	215	1.75508	1.63504	0.00466165
1	216	1.7572	1.63561	0.00467425
1	217	1.75938	1.63618	0.00468738
1	218	1.76159	1.63675	0.00470105
1	219	1.76383	1.63733	0.00471526
1	220	1.76607	1.63792	0.00473
1	221	1.7683	1.63851	0.00474524
1	222	1.77052	1.6391	0.00476098
1	223	1.77272	1.6397	0.00477719
1	224	1.7749	1.6403	0.00479384
1	225	1.77705	1.64091	0.00481091
1	226	1.77919	1.64152	0.00482837
1	227	1.78131	1.64214	0.00484621
1	228	1.78342	1.64276	0.00486441
1	229	1.78552	1.64338	0.00488295
1	230	1.78763	1.64401	0.00490183
1	231	1.78973	1.64464	0.00492103
1	232	1.79183	1.64527	0.00494055
1	233	1.79393	1.64591	0.00496037
1	234	1.79602	1.64655	0.00498047
1	235	1.79809	1.6472	0.00500085
1	236	1.80012	1.64785	0.00502147
1	237	1.8021	1.6485	0.00504228
1	238	1.80399	1.64915	0.00506324
1	239	1.80577	1.64981	0.00508429
1	240	1.80742	1.65046	0.00510534
1	241	1.80889	1.65112	0.00512631
1	242	1.81018	1.65178	0.00514708
1	243	1.81123	1.65243	0.00516756
1	244	1.81204	1.65309	0.00518762
1	245	1.81257	1.65374	0.00520713
1	246	1.8128	1.65439	0.00522595
1	247	1.81273	1.65503	0.00524396
1	248	1.81232	1.65566	0.00526103
1	249	1.81157	1.65629	0.00527704
1	250	1.81049	1.6569	0.00529185
1	251	1.80906	1.65751	0.00530538
1	252	1.80729	1.6581	0.00531751
1	253	1.80519	1.65869	0.00532818
1	254	1.80277	1.65925	0.00533732
1	255	1.80004	1.65981	0.00534487
1	256	1.79702	1.66034	0.0053508
1	257	1.79371	1.66086	0.00535508
1	258	1.79014	1.66136	0.00535772
1	259	1.78632	1.66184	0.00535871
1	260	1.78227	1.66231	0.00535808
1	261	1.778	1.66275	0.00535586
1	262	1.77352	1.66317	0.00535208
1	263	1.76887	1.66357	0.00534679
1	264	1.76404	1.66396	0.00534007
1	265	1.75905	1.66431	0.00533196
1	266	1.75393	1.66465	0.00532255
1	267	1.74866	1.66497	0.0053119
1	268	1.74327	1.66526	0.00530011
1	269	1.73777	1.66553	0.00528726
1	270	1.73216	1.66577	0.00527343
1	271	1.72644	1.666	0.00525872
1	272	1.72064	1.6662	0.00524323
1	273	1.71475	1.66638	0.00522704
1	274	1.70879	1.66653	0.00521025
1	275	1.70275	1.66666	0.00519297
1	276	1.69665	1.66677	0.00517529
1	277	1.6905	1.66686	0.00515731
1	278	1.68429	1.66692	0.00513914
1	279	1.67805	1.66696	0.00512088
1	280	1.67179	1.66698	0.00510262
1	281	1.66551	1.66697	0.00508446
1	282	1.65923	1.66694	0.00506651
1	283	1.65297	1.6669	0.00504885
1	284	1.64674	1.66682	0.00503157
1	285	1.64057	1.66673	0.00501476
1	286	1.63447	1.66662	0.00499849
1	287	1.62847	1.66649	0.00498284
1	288	1.62258	1.66633	0.00496787
1	289	1.61683	1.66616	0.00495363
1	290	1.61124	1.66597	0.00494017
1	291	1.60583	1.66577	0.00492752
1	292	1.60061	1.66554	0.00491569
1	293	1.59562	1.66531	0.0049047
1	294	1.59086	1.66505	0.00489455
1	295	1.58635	1.66479	0.00488522
1	296	1.58211	1.66451	0.0048767
1	297	1.57814	1.66422	0.00486894
1	298	1.57446	1.66391	0.00486191
1	299	1.57107	1.6636	0.00485555
1	300	1.56798	1.66328	0.00484982
1	301	1.5652	1.66296	0.00484464
1	302	1.56272	1.66263	0.00483996
1	303	1.56055	1.66229	0.00483569
1	304	1.5587	1.66195	0.00483178
1	305	1.55716	1.66161	0.00482813
1	306	1.55595	1.66126	0.00482469
1	307	1.55506	1.66091	0.00482136
1	308	1.55451	1.66057	0.00481807
1	309	1.55429	1.66023	0.00481473
1	310	1.55444	1.65988	0.00481128
1	311	1.55494	1.65955	0.00480763
1	312	1.55583	1.65921	0.0048037
1	313	1.5571	1.65889	0.00479942
1	314	1.55879	1.65857	0.00479471
1	315	1.5609	1.65826	0.0047895
1	316	1.56345	1.65796	0.00478373
1	317	1.56646	1.65767	0.00477734
1	318	1.56993	1.65739	0.00477028
1	319	1.57388	1.65713	0.0047625
1	320	1.57831	1.65689	0.00475399
1	321	1.58323	1.65666	0.00474471
1	322	1.58862	1.65645	0.00473468
1	323	1.59448	1.65625	0.00472391
1	324	1.60079	1.65608	0.00471243
1	325	1.60754	1.65593	0.00470029
1	326	1.61469	1.65581	0.00468758
1	327	1.62221	1.6557	0.00467437
1	328	1.63006	1.65563	0.00466077
1	329	1.6382	1.65557	0.00464691
1	330	1.64659	1.65555	0.0046329
1	331	1.65517	1.65554	0.00461891
1	332	1.66388	1.65557	0.00460506
1	333	1.67269	1.65562	0.00459152
1	334	1.68152	1.6557	0.00457843
1	335	1.69033	1.6558	0.00456593
1	336	1.69906	1.65593	0.00455415
1	337	1.70767	1.65608	0.00454323
1	338	1.71611	1.65626	0.00453326
1	339	1.72433	1.65646	0.00452433
1	340	1.7323	1.65669	0.00451652
1	341	1.73998	1.65693	0.00450987
1	342	1.74733	1.65719	0.00450442
1	343	1.75433	1.65748	0.00450019
1	344	1.76096	1.65778	0.00449715
1	345	1.7672	1.6581	0.00449528
1	346	1.77302	1.65843	0.00449454
1	347	1.77842	1.65877	0.00449488
1	348	1.78339	1.65913	0.0044962
1	349	1.78793	1.6595	0.00449844
1	350	1.79202	1.65988	0.00450149
1	351	1.79567	1.66027	0.00450526
1	352	1.79889	1.66066	0.00450964
1	353	1.80168	1.66106	0.00451453
1	354	1.80405	1.66146	0.00451981
1	355	1.806	1.66187	0.00452538
1	356	1.80756	1.66228	0.00453113
1	357	1.80873	1.66269	0.00453697
1	358	1.80953	1.6631	0.0045428
1	359	1.80997	1.66351	0.00454853
1	360	1.81009	1.66392	0.00455408
1	361	1.80988	1.66432	0.00455938
1	362	1.80939	1.66472	0.00456436
1	363	1.80862	1.66512	0.00456897
1	364	1.80759	1.66551	0.00457315
1	365	1.80634	1.66589	0.00457687
1	366	1.80488	1.66627	0.00458009
1	367	1.80323	1.66665	0.00458279
1	368	1.80142	1.66701	0.00458495
1	369	1.79947	1.66737	0.00458655
1	370	1.79741	1.66772	0.0045876
1	371	1.79525	1.66807	0.0045881
1	372	1.79303	1.6684	0.00458804
1	373	1.79076	1.66873	0.00458745
1	374	1.78847	1.66905	0.00458635
1	375	1.78618	1.66936	0.00458474
1	376	1.78393	1.66967	0.00458266
1	377	1.78172	1.66997	0.00458013
1	378	1.77959	1.67026	0.00457719
1	379	1.77755	1.67054	0.00457386
1	380	1.77563	1.67082	0.00457017
1	381	1.77384	1.67109	0.00456617
1	382	1.7722	1.67135	0.00456188
