Step	Temp
456	1.05977
457	1.05836
458	1.05697
459	1.05561
460	1.0543
461	1.05303
462	1.05181
463	1.05065
464	1.04954
465	1.04851
466	1.04754
467	1.04666
468	1.04586
469	1.04514
470	1.04453
471	1.04402
472	1.04363
473	1.04335
474	1.0432
475	1.04318
476	1.04329
477	1.04353
478	1.0439
479	1.04439
480	1.04499
481	1.04571
482	1.04651
483	1.04739
484	1.04833
485	1.04932
486	1.05032
487	1.05132
488	1.05231
489	1.05325
490	1.05413
491	1.05493
492	1.05563
493	1.05622
494	1.05668
495	1.057
496	1.05717
497	1.05718
498	1.05703
499	1.0567
500	1.0562
501	1.05552
502	1.05466
503	1.05362
504	1.05241
505	1.05102
506	1.04945
507	1.04773
508	1.04585
509	1.04381
510	1.04164
511	1.03935
512	1.03694
513	1.03443
514	1.03184
515	1.02919
516	1.02648
517	1.02375
518	1.021
519	1.01826
520	1.01553
521	1.01284
522	1.01019
523	1.0076
524	1.00507
525	1.00262
526	1.00024
527	0.997934
528	0.995709
529	0.993562
530	0.991491
531	0.989493
532	0.987566
533	0.985707
534	0.983915
535	0.98219
536	0.980533
537	0.978946
538	0.977433
539	0.975998
540	0.974649
541	0.973393
542	0.972242
543	0.971204
544	0.970291
545	0.969512
546	0.968879
547	0.968402
548	0.968091
549	0.967957
550	0.968004
551	0.968241
552	0.96867
553	0.969294
554	0.970113
555	0.971126
556	0.972331
557	0.973727
558	0.975308
559	0.977067
560	0.979
561	0.981097
562	0.983349
563	0.985748
564	0.988284
565	0.990945
566	0.993721
567	0.996603
568	0.99958
569	1.00264
570	1.00578
571	1.00899
572	1.01226
573	1.01557
574	1.01893
575	1.02233
576	1.02576
577	1.02921
578	1.03269
579	1.03619
580	1.0397
581	1.04324
582	1.04679
583	1.05037
584	1.05396
585	1.05758
586	1.06122
587	1.06489
588	1.06858
589	1.07231
590	1.07607
591	1.07985
592	1.08366
593	1.0875
594	1.09135
595	1.09521
596	1.09907
597	1.10293
598	1.10677
599	1.11057
600	1.11432
601	1.11801
602	1.12161
603	1.12513
604	1.12853
605	1.13181
606	1.13495
607	1.13794
608	1.14076
609	1.14342
610	1.1459
611	1.14819
612	1.15029
613	1.1522
614	1.15391
615	1.15543
616	1.15676
617	1.15791
618	1.15888
619	1.15968
620	1.16032
621	1.16081
622	1.16116
623	1.16139
624	1.1615
625	1.16152
626	1.16145
627	1.1613
628	1.16109
629	1.16083
630	1.16053
631	1.1602
632	1.15984
633	1.15948
634	1.1591
635	1.15872
636	1.15833
637	1.15795
638	1.15756
639	1.15718
640	1.1568
641	1.15642
642	1.15604
643	1.15566
644	1.15528
645	1.1549
646	1.15451
647	1.15413
648	1.15375
649	1.15338
650	1.15301
651	1.15266
652	1.15234
653	1.15203
654	1.15176
655	1.15153
656	1.15134
657	1.1512
658	1.15111
659	1.15107
660	1.15109
661	1.15117
662	1.1513
663	1.15148
664	1.1517
665	1.15197
666	1.15226
667	1.15258
668	1.15291
669	1.15325
670	1.15358
671	1.15389
672	1.15417
673	1.15443
674	1.15464
675	1.1548
676	1.15491
677	1.15497
678	1.15496
679	1.1549
680	1.15477
681	1.15459
682	1.15436
683	1.15407
684	1.15374
685	1.15337
686	1.15297
687	1.15254
688	1.1521
689	1.15165
690	1.15121
691	1.15077
692	1.15036
693	1.14997
694	1.14963
695	1.14933
696	1.14908
697	1.1489
698	1.14878
699	1.14873
700	1.14877
701	1.14888
702	1.14908
703	1.14936
704	1.14972
705	1.15016
706	1.15067
707	1.15125
708	1.1519
709	1.15261
710	1.15336
711	1.15415
712	1.15496
713	1.15579
714	1.15662
715	1.15744
716	1.15824
717	1.159
718	1.15971
719	1.16036
720	1.16094
721	1.16144
722	1.16184
723	1.16214
724	1.16234
725	1.16241
726	1.16237
727	1.1622
728	1.1619
729	1.16148
730	1.16092
731	1.16024
732	1.15943
733	1.15851
734	1.15746
735	1.15631
736	1.15506
737	1.15371
738	1.15228
739	1.15078
740	1.14921
741	1.1476
742	1.14594
743	1.14427
744	1.14258
745	1.14091
746	1.13925
747	1.13764
748	1.13608
749	1.13459
750	1.1332
751	1.1319
752	1.13072
753	1.12967
754	1.12876
755	1.12801
756	1.12741
757	1.12698
758	1.12672
759	1.12662
760	1.12669
761	1.12692
762	1.12731
763	1.12783
764	1.12848
765	1.12924
766	1.13009
767	1.13102
768	1.13201
769	1.13303
770	1.13406
771	1.1351
772	1.13611
773	1.13709
774	1.13802
775	1.13888
776	1.13968
777	1.14039
778	1.14101
779	1.14154
780	1.14198
781	1.14232
782	1.14257
783	1.14273
784	1.14281
785	1.1428
786	1.14272
787	1.14257
788	1.14235
789	1.14209
790	1.14178
791	1.14143
792	1.14105
793	1.14065
794	1.14024
795	1.13983
796	1.13942
797	1.13901
798	1.13863
799	1.13828
800	1.13796
801	1.13768
802	1.13745
803	1.13728
804	1.13717
805	1.13712
806	1.13715
807	1.13726
808	1.13745
809	1.13771
810	1.13806
811	1.13849
812	1.139
813	1.13959
814	1.14024
815	1.14096
816	1.14175
817	1.14258
818	1.14346
819	1.14438
820	1.14533
821	1.14631
822	1.1473
823	1.1483
824	1.14931
825	1.15031
826	1.15131
827	1.1523
828	1.15328
829	1.15424
830	1.15519
831	1.15613
832	1.15705
833	1.15796
834	1.15886
835	1.15975
836	1.16064
837	1.16153
838	1.16242
839	1.16332
840	1.16423
841	1.16515
842	1.16609
843	1.16704
844	1.16801
845	1.169
846	1.17001
847	1.17104
848	1.17208
849	1.17314
850	1.17422
851	1.17531
852	1.1764
853	1.1775
854	1.1786
855	1.1797
856	1.18078
857	1.18185
858	1.1829
859	1.18393
860	1.18493
861	1.18589
862	1.18681
863	1.18769
864	1.18852
865	1.18929
866	1.19001
867	1.19066
868	1.19125
869	1.19177
870	1.19221
871	1.19258
872	1.19286
873	1.19307
874	1.19319
875	1.19322
876	1.19316
877	1.19301
878	1.19276
879	1.19242
880	1.19198
881	1.19144
882	1.1908
883	1.19006
884	1.18922
885	1.18827
886	1.18722
887	1.18607
888	1.18482
889	1.18347
890	1.18202
891	1.18047
892	1.17881
893	1.17706
894	1.17521
895	1.17326
896	1.17122
897	1.16908
898	1.16683
899	1.16449
900	1.16204
901	1.15949
902	1.15684
903	1.15407
904	1.1512
905	1.14821
906	1.1451
907	1.14186
908	1.1385
909	1.13502
910	1.13139
911	1.12763
912	1.12372
913	1.11966
914	1.11544
915	1.11106
916	1.10652
917	1.10181
918	1.09693
919	1.09187
920	1.08663
921	1.08121
922	1.07561
923	1.06983
924	1.06387
925	1.05775
926	1.05147
927	1.04503
928	1.03847
929	1.03178
930	1.025
931	1.01816
932	1.01127
933	1.00439
934	0.997544
935	0.990777
936	0.984134
937	0.977662
938	0.971412
939	0.965434
940	0.959775
941	0.954483
942	0.949604
943	0.94518
944	0.941248
945	0.937838
946	0.934976
947	0.932683
948	0.930972
949	0.929854
950	0.929331
951	0.9294
952	0.930055
953	0.931285
954	0.933076
955	0.935409
956	0.938265
957	0.941618
958	0.94544
959	0.949698
960	0.954358
961	0.959381
962	0.964725
963	0.970345
964	0.976194
965	0.982225
966	0.988387
967	0.994635
968	1.00092
969	1.00721
970	1.01345
971	1.01961
972	1.02565
973	1.03155
974	1.03729
975	1.04285
976	1.04821
977	1.05336
978	1.05829
979	1.063
980	1.06749
981	1.07176
982	1.07581
983	1.07963
984	1.08324
985	1.08665
986	1.08985
987	1.09285
988	1.09566
989	1.09829
990	1.10074
991	1.10302
992	1.10514
993	1.1071
994	1.10891
995	1.11058
996	1.1121
997	1.1135
998	1.11476
999	1.11589
1000	1.1169
1001	1.11779
1002	1.11855
1003	1.1192
1004	1.11972
1005	1.12013
1006	1.12042
1007	1.12059
1008	1.12064
1009	1.12058
1010	1.12041
1011	1.12011
1012	1.1197
1013	1.11917
1014	1.11852
1015	1.11774
1016	1.11682
1017	1.11578
1018	1.11459
1019	1.11325
1020	1.11176
1021	1.1101
1022	1.10828
1023	1.10629
1024	1.10412
1025	1.10177
1026	1.09924
1027	1.09654
1028	1.09366
1029	1.0906
1030	1.08738
1031	1.08401
1032	1.0805
1033	1.07687
1034	1.07313
1035	1.06931
1036	1.06542
1037	1.0615
1038	1.05757
1039	1.05366
1040	1.0498
1041	1.04602
1042	1.04235
1043	1.03881
1044	1.03545
1045	1.03227
1046	1.02931
1047	1.02659
1048	1.02414
1049	1.02196
1050	1.02007
1051	1.01848
1052	1.0172
1053	1.01623
1054	1.01557
1055	1.01522
1056	1.01517
1057	1.01542
1058	1.01594
1059	1.01673
1060	1.01777
1061	1.01904
1062	1.02053
1063	1.02222
1064	1.02409
1065	1.02613
1066	1.02831
1067	1.03062
1068	1.03304
1069	1.03556
1070	1.03816
1071	1.04083
1072	1.04356
1073	1.04634
1074	1.04915
1075	1.05199
1076	1.05486
1077	1.05773
1078	1.06061
1079	1.06348
1080	1.06635
1081	1.06919
1082	1.07202
1083	1.07482
1084	1.07758
1085	1.08031
1086	1.083
1087	1.08564
1088	1.08823
1089	1.09078
1090	1.09327
1091	1.0957
1092	1.09808
1093	1.10039
1094	1.10265
1095	1.10485
1096	1.10698
1097	1.10906
1098	1.11107
1099	1.11302
1100	1.11492
1101	1.11675
1102	1.11852
1103	1.12024
1104	1.1219
1105	1.12351
1106	1.12507
1107	1.12657
1108	1.12802
1109	1.12941
1110	1.13076
1111	1.13205
1112	1.13329
1113	1.13447
1114	1.1356
1115	1.13667
1116	1.13769
1117	1.13865
1118	1.13954
1119	1.14037
1120	1.14114
1121	1.14184
1122	1.14248
1123	1.14305
1124	1.14356
1125	1.144
1126	1.14436
1127	1.14466
1128	1.1449
1129	1.14506
1130	1.14515
1131	1.14518
1132	1.14514
1133	1.14503
1134	1.14486
1135	1.14461
1136	1.1443
1137	1.14391
1138	1.14346
1139	1.14293
1140	1.14232
1141	1.14164
1142	1.14088
1143	1.14003
1144	1.13911
1145	1.1381
1146	1.13701
1147	1.13582
1148	1.13455
1149	1.13318
1150	1.13173
1151	1.13017
1152	1.12853
1153	1.12679
1154	1.12495
1155	1.12303
1156	1.12103
1157	1.11894
1158	1.11677
1159	1.11454
1160	1.11224
1161	1.10989
1162	1.1075
1163	1.10507
