step	acc_rate
0	-nan
426	0.0399061
427	0.0398126
428	0.0397196
429	0.039627
430	0.0395349
431	0.0394432
432	0.0393519
433	0.039261
434	0.0391705
435	0.0390805
436	0.0389908
437	0.0389016
438	0.0388128
439	0.0387244
440	0.0386364
441	0.0385488
442	0.0384615
443	0.0383747
444	0.0382883
445	0.0382022
446	0.0381166
447	0.0380313
448	0.0379464
449	0.0378619
450	0.0377778
451	0.037694
452	0.0376106
453	0.0375276
454	0.0374449
455	0.0373626
456	0.0372807
457	0.0371991
458	0.0371179
459	0.037037
460	0.0369565
461	0.0368764
462	0.0367965
463	0.0367171
464	0.0366379
465	0.0365591
466	0.0364807
467	0.0364026
468	0.0363248
469	0.0362473
470	0.0361702
471	0.0360934
472	0.0360169
473	0.0359408
474	0.035865
475	0.0357895
476	0.0357143
477	0.0356394
478	0.0355649
479	0.0354906
480	0.0354167
481	0.035343
482	0.0352697
483	0.0351967
484	0.035124
485	0.0350515
486	0.0349794
487	0.0349076
488	0.0348361
489	0.0347648
490	0.0346939
491	0.0346232
492	0.0345528
493	0.0344828
494	0.034413
495	0.0343434
496	0.0342742
497	0.0342052
498	0.0341365
499	0.0340681
500	0.034
501	0.0339321
502	0.0338645
503	0.0337972
504	0.0337302
505	0.0336634
506	0.0335968
507	0.0335306
508	0.0334646
509	0.0333988
510	0.0333333
511	0.0332681
512	0.0332031
513	0.0331384
514	0.0330739
515	0.0330097
516	0.0329457
517	0.032882
518	0.0328185
519	0.0327553
520	0.0326923
521	0.0326296
522	0.032567
523	0.0325048
524	0.0324427
525	0.032381
526	0.0323194
527	0.0322581
528	0.032197
529	0.0321361
530	0.0320755
531	0.0320151
532	0.0319549
533	0.0318949
534	0.0318352
535	0.0317757
536	0.0317164
537	0.0316574
538	0.0315985
539	0.0315399
540	0.0314815
541	0.0314233
542	0.0313653
543	0.0313076
544	0.03125
545	0.0311927
546	0.0311355
547	0.0310786
548	0.0310219
549	0.0309654
550	0.0309091
551	0.030853
552	0.0307971
553	0.0307414
554	0.0306859
555	0.0306306
556	0.0305755
557	0.0305206
558	0.0304659
559	0.0304114
560	0.0303571
561	0.030303
562	0.0302491
563	0.0301954
564	0.0301418
565	0.0300885
566	0.0300353
567	0.0299824
568	0.0299296
569	0.029877
570	0.0298246
571	0.0297723
572	0.0297203
573	0.0296684
574	0.0296167
575	0.0295652
576	0.0295139
577	0.0294627
578	0.0294118
579	0.029361
580	0.0293103
581	0.0292599
582	0.0292096
583	0.0291595
584	0.0291096
585	0.0290598
586	0.0290102
587	0.0289608
588	0.0289116
589	0.0288625
590	0.0288136
591	0.0287648
592	0.0287162
593	0.0286678
594	0.0286195
595	0.0285714
596	0.0285235
597	0.0284757
598	0.0284281
599	0.0283806
600	0.0283333
601	0.0282862
602	0.0282392
603	0.0281924
604	0.0281457
605	0.0280992
606	0.0280528
607	0.0280066
608	0.0279605
609	0.0279146
610	0.0278689
611	0.0278232
612	0.0277778
613	0.0277325
614	0.0276873
615	0.0276423
616	0.0275974
617	0.0275527
618	0.0275081
619	0.0274637
620	0.0274194
621	0.0273752
622	0.0273312
623	0.0272873
624	0.0272436
625	0.0272
626	0.0271565
627	0.0271132
628	0.0270701
629	0.027027
630	0.0269841
631	0.0269414
632	0.0268987
633	0.0268562
634	0.0268139
635	0.0267717
636	0.0267296
637	0.0266876
638	0.0266458
639	0.0266041
640	0.0265625
641	0.0265211
642	0.0264798
643	0.0264386
644	0.0263975
645	0.0263566
646	0.0263158
647	0.0262751
648	0.0262346
649	0.0261941
650	0.0261538
651	0.0261137
652	0.0260736
653	0.0260337
654	0.0259939
655	0.0259542
656	0.0259146
657	0.0258752
658	0.0258359
659	0.0257967
660	0.0257576
661	0.0257186
662	0.0256798
663	0.025641
664	0.0256024
665	0.0255639
666	0.0255255
667	0.0254873
668	0.0254491
669	0.0254111
670	0.0253731
671	0.0253353
672	0.0252976
673	0.02526
674	0.0252226
675	0.0251852
676	0.0251479
677	0.0251108
678	0.0250737
679	0.0250368
680	0.025
681	0.0249633
682	0.0249267
