beta	mu	sigma
9.20102	0.737115	0.801034
9.20102	0.892192	0.612514
9.20102	0.913309	0.635723
9.20102	0.776099	0.742823
9.20102	0.782829	0.557499
9.20102	0.411596	0.704901
9.20102	0.734162	0.622348
11.0412	0.734162	0.622348
11.0412	0.626674	0.631714
11.0412	0.840388	0.605447
11.0412	0.741615	0.744303
11.0412	0.784723	0.646754
11.0412	0.784723	0.646754
11.0412	0.875865	0.615402
11.0412	0.875865	0.615402
11.0412	0.875865	0.615402
11.0412	0.875865	0.615402
13.2495	0.875865	0.615402
13.2495	0.733184	0.536057
13.2495	0.985596	0.731696
13.2495	0.715735	0.71642
13.2495	0.519723	0.647218
13.2495	0.384478	0.784379
13.2495	0.483502	0.95042
13.2495	0.669021	0.888511
13.2495	0.744475	0.634184
13.2495	0.599266	0.799935
15.8994	0.791294	0.647045
15.8994	0.791294	0.647045
15.8994	0.791294	0.647045
15.8994	0.51418	0.749492
15.8994	0.71259	0.727205
15.8994	0.729534	0.793691
15.8994	0.923371	0.680994
15.8994	0.809587	0.594804
15.8994	0.734255	0.922066
15.8994	1.01607	0.632557
19.0792	0.939653	0.663249
19.0792	0.75568	0.76219
19.0792	0.359894	1.03806
19.0792	0.587385	1.00737
19.0792	0.837694	0.570618
19.0792	0.0933238	1.02073
19.0792	0.675569	0.606426
19.0792	0.675569	0.606426
19.0792	0.865462	0.669286
19.0792	0.864837	0.758366
22.8951	0.643499	0.753173
22.8951	0.643499	0.753173
22.8951	0.679033	0.54625
22.8951	0.679033	0.54625
22.8951	0.75554	0.708634
22.8951	0.88473	0.663628
22.8951	0.88473	0.663628
22.8951	0.88473	0.663628
22.8951	0.708527	0.54768
22.8951	0.708527	0.54768
27.4741	0.85189	0.718283
27.4741	0.485052	0.89252
27.4741	0.831628	0.563537
27.4741	0.692026	0.787704
27.4741	0.731601	0.593994
27.4741	0.731601	0.593994
27.4741	0.759934	0.60747
27.4741	0.759934	0.60747
27.4741	0.759934	0.60747
27.4741	0.858453	0.65943
32.9689	0.858453	0.65943
32.9689	0.858453	0.65943
32.9689	0.858453	0.65943
32.9689	0.726329	0.553831
32.9689	0.830334	0.569975
32.9689	0.830334	0.569975
32.9689	0.827779	0.633592
32.9689	0.827779	0.633592
32.9689	0.827779	0.633592
32.9689	0.827779	0.633592
39.5627	0.827779	0.633592
39.5627	0.827779	0.633592
39.5627	0.827779	0.633592
39.5627	0.827779	0.633592
39.5627	0.816223	0.654431
39.5627	0.816223	0.654431
39.5627	0.816223	0.654431
39.5627	0.816223	0.654431
39.5627	0.816223	0.654431
39.5627	0.859541	0.601093
