step	acc_rate
0	-nan
461	0.503254
462	0.502165
463	0.50108
464	0.5
465	0.501075
466	0.502146
467	0.503212
468	0.502137
469	0.503198
470	0.504255
471	0.503185
472	0.504237
473	0.505285
474	0.506329
475	0.505263
476	0.504202
477	0.503145
478	0.502092
479	0.503132
480	0.502083
481	0.50104
482	0.5
483	0.501035
484	0.5
485	0.501031
486	0.5
487	0.501027
488	0.502049
489	0.503067
490	0.502041
491	0.501018
492	0.5
493	0.498986
494	0.497976
495	0.49899
496	0.497984
497	0.496982
498	0.495984
499	0.496994
500	0.498
501	0.499002
502	0.5
503	0.500994
504	0.501984
505	0.50297
506	0.503953
507	0.502959
508	0.503937
509	0.504912
510	0.505882
511	0.506849
512	0.507812
513	0.506823
514	0.507782
515	0.506796
516	0.507752
517	0.50677
518	0.507722
519	0.506744
520	0.505769
521	0.506718
522	0.507663
523	0.508604
524	0.507634
525	0.506667
526	0.505703
527	0.506641
528	0.505682
529	0.504726
530	0.503774
531	0.502825
532	0.503759
533	0.502814
534	0.501873
535	0.500935
536	0.5
537	0.500931
538	0.501859
539	0.500928
540	0.5
541	0.500924
542	0.5
543	0.500921
544	0.501838
545	0.500917
546	0.5
547	0.499086
548	0.498175
549	0.499089
550	0.5
551	0.500907
552	0.501812
553	0.502712
554	0.501805
555	0.502703
556	0.503597
557	0.502693
558	0.501792
559	0.502683
560	0.501786
561	0.502674
562	0.501779
563	0.502664
564	0.501773
565	0.500885
566	0.5
567	0.500882
568	0.501761
569	0.500879
570	0.5
571	0.500876
572	0.501748
573	0.502618
574	0.503484
575	0.502609
576	0.501736
577	0.500867
578	0.50173
579	0.500864
580	0.501724
581	0.502582
582	0.501718
583	0.502573
584	0.501712
585	0.502564
586	0.501706
587	0.500852
588	0.5
589	0.500849
590	0.5
591	0.499154
592	0.498311
593	0.49747
594	0.496633
595	0.495798
596	0.494966
597	0.494137
598	0.493311
599	0.492487
600	0.493333
601	0.492512
602	0.491694
603	0.490879
604	0.490066
605	0.489256
606	0.490099
607	0.490939
608	0.490132
609	0.490969
610	0.491803
611	0.492635
612	0.493464
613	0.492659
614	0.491857
615	0.492683
616	0.491883
617	0.491086
618	0.490291
619	0.491115
620	0.490323
621	0.489533
622	0.488746
623	0.489567
624	0.490385
625	0.4896
626	0.488818
627	0.489633
628	0.488854
629	0.489666
630	0.488889
631	0.488114
632	0.487342
633	0.488152
634	0.487382
635	0.486614
636	0.485849
637	0.485086
638	0.484326
639	0.483568
640	0.484375
641	0.483619
642	0.484424
643	0.48367
644	0.482919
645	0.482171
646	0.482972
647	0.483771
648	0.484568
649	0.485362
650	0.484615
651	0.483871
652	0.484663
653	0.485452
654	0.486239
655	0.487023
656	0.48628
657	0.487062
658	0.486322
659	0.487102
660	0.487879
661	0.487141
662	0.486405
663	0.487179
664	0.486446
665	0.487218
666	0.486486
667	0.487256
668	0.488024
669	0.488789
670	0.48806
671	0.488823
672	0.489583
673	0.490342
674	0.489614
675	0.488889
676	0.489645
677	0.488922
678	0.489676
679	0.490427
680	0.489706
681	0.490455
682	0.491202
683	0.490483
684	0.489766
685	0.490511
686	0.489796
687	0.489083
688	0.489826
689	0.489115
690	0.489855
691	0.489146
692	0.488439
693	0.489177
694	0.489914
695	0.489209
696	0.489943
697	0.48924
698	0.488539
699	0.48927
700	0.488571
701	0.487874
702	0.487179
703	0.486486
704	0.485795
705	0.486525
706	0.487252
707	0.487977
708	0.487288
709	0.486601
710	0.485915
711	0.486639
712	0.485955
713	0.485273
714	0.485994
715	0.486713
716	0.486034
717	0.485356
718	0.48468
719	0.485396
720	0.486111
721	0.486824
722	0.48615
723	0.48686
724	0.487569
725	0.486897
726	0.487603
727	0.486933
728	0.486264
729	0.486968
730	0.487671
731	0.488372
732	0.487705
733	0.48704
734	0.486376
735	0.487075
736	0.486413
737	0.48711
738	0.48645
739	0.485792
740	0.485135
741	0.48583
742	0.486523
743	0.487214
744	0.487903
745	0.487248
746	0.487936
747	0.487282
748	0.487968
749	0.488652
750	0.488
751	0.488682
752	0.489362
753	0.49004
754	0.48939
755	0.490066
756	0.489418
757	0.488771
758	0.488127
759	0.487484
760	0.486842
761	0.487516
762	0.488189
763	0.48886
764	0.489529
765	0.490196
766	0.489556
767	0.490222
768	0.490885
769	0.491547
770	0.490909
771	0.490272
772	0.490933
773	0.490298
774	0.489664
775	0.489032
776	0.489691
777	0.490347
778	0.489717
779	0.489089
780	0.488462
781	0.487836
782	0.487212
783	0.487867
784	0.48852
785	0.487898
786	0.487277
787	0.486658
788	0.486041
789	0.486692
790	0.487342
791	0.486726
792	0.487374
793	0.48802
794	0.487406
795	0.48805
796	0.488693
797	0.489335
798	0.488722
799	0.489362
800	0.49
801	0.490637
802	0.491272
803	0.491905
804	0.492537
805	0.491925
806	0.491315
807	0.491945
808	0.492574
809	0.491965
810	0.491358
811	0.490752
812	0.491379
813	0.492005
814	0.4914
815	0.490798
816	0.490196
817	0.49082
818	0.49022
819	0.490842
820	0.490244
821	0.489647
822	0.490268
823	0.490887
824	0.491505
825	0.492121
826	0.491525
827	0.49214
828	0.491546
829	0.492159
830	0.492771
831	0.492178
832	0.492788
833	0.493397
834	0.492806
835	0.492216
836	0.491627
837	0.492234
838	0.491647
839	0.492253
840	0.492857
841	0.492271
842	0.492874
843	0.493476
844	0.492891
845	0.492308
846	0.491726
847	0.492326
848	0.492925
849	0.493522
850	0.492941
851	0.493537
852	0.492958
853	0.493552
854	0.492974
855	0.493567
856	0.492991
857	0.492415
858	0.493007
859	0.492433
860	0.49186
861	0.491289
862	0.491879
863	0.491309
864	0.491898
865	0.492486
866	0.491917
867	0.491349
868	0.490783
869	0.491369
870	0.491954
871	0.492537
872	0.493119
873	0.4937
874	0.494279
875	0.494857
876	0.495434
877	0.494869
878	0.495444
879	0.494881
880	0.495455
881	0.496027
882	0.495465
883	0.494904
884	0.494344
885	0.493785
886	0.493228
887	0.492672
888	0.492117
889	0.491564
890	0.492135
891	0.492705
892	0.492152
893	0.492721
894	0.493289
895	0.492737
896	0.493304
897	0.492754
898	0.492205
899	0.491657
900	0.491111
901	0.491676
902	0.492239
903	0.491694
904	0.49115
905	0.491713
906	0.492274
907	0.492834
908	0.492291
909	0.491749
910	0.491209
911	0.491767
912	0.492325
913	0.491785
914	0.492341
915	0.491803
916	0.492358
917	0.491821
918	0.491285
919	0.491839
920	0.492391
921	0.492942
922	0.493492
923	0.494041
924	0.494589
925	0.495135
926	0.4946
927	0.495146
928	0.494612
929	0.495156
930	0.494624
931	0.494092
932	0.493562
933	0.493033
934	0.493576
935	0.494118
936	0.49359
937	0.493063
938	0.492537
939	0.493078
940	0.493617
941	0.493092
942	0.492569
943	0.493107
944	0.493644
945	0.49418
946	0.494715
947	0.495248
948	0.494726
949	0.494204
950	0.493684
951	0.493165
952	0.492647
953	0.493179
954	0.493711
955	0.493194
956	0.492678
957	0.492163
958	0.492693
959	0.493222
960	0.492708
961	0.493236
962	0.492723
963	0.49325
964	0.492739
965	0.492228
966	0.492754
967	0.492244
968	0.492769
969	0.49226
970	0.492784
971	0.492276
972	0.492798
973	0.49332
974	0.49384
975	0.493333
976	0.493852
977	0.494371
978	0.494888
979	0.494382
980	0.494898
981	0.494393
982	0.494908
983	0.495422
984	0.494919
985	0.494416
986	0.493915
987	0.493414
988	0.492915
989	0.493428
990	0.492929
991	0.493441
992	0.493952
993	0.494461
994	0.493964
995	0.493467
996	0.492972
997	0.492477
998	0.491984
999	0.491491
1000	0.492
1001	0.492507
1002	0.493014
1003	0.493519
1004	0.494024
1005	0.493532
1006	0.493042
1007	0.492552
1008	0.493056
1009	0.493558
1010	0.493069
1011	0.493571
1012	0.493083
1013	0.492596
1014	0.493097
1015	0.492611
1016	0.49311
1017	0.493609
1018	0.493124
1019	0.493621
1020	0.494118
1021	0.493634
1022	0.493151
1023	0.493646
1024	0.494141
1025	0.493659
1026	0.494152
1027	0.494645
1028	0.495136
1029	0.494655
1030	0.494175
1031	0.494665
1032	0.494186
1033	0.494676
1034	0.495164
1035	0.495652
1036	0.496139
1037	0.496625
1038	0.496146
1039	0.496631
1040	0.497115
1041	0.497598
1042	0.498081
1043	0.497603
1044	0.498084
1045	0.497608
1046	0.497132
1047	0.497612
1048	0.497137
1049	0.496663
1050	0.497143
1051	0.497621
1052	0.498099
1053	0.498575
1054	0.499051
1055	0.499526
1056	0.5
1057	0.499527
1058	0.499055
1059	0.499528
1060	0.5
1061	0.499529
1062	0.5
1063	0.50047
1064	0.50094
1065	0.500469
1066	0.500938
1067	0.500469
1068	0.5
1069	0.499532
1070	0.499065
1071	0.498599
1072	0.498134
1073	0.498602
1074	0.498138
1075	0.497674
1076	0.497212
1077	0.497679
1078	0.497217
1079	0.497683
1080	0.498148
1081	0.498612
1082	0.499076
1083	0.498615
1084	0.499077
1085	0.499539
1086	0.499079
1087	0.49862
1088	0.499081
1089	0.498623
1090	0.499083
1091	0.498625
1092	0.498168
1093	0.498628
1094	0.499086
1095	0.49863
1096	0.499088
1097	0.498633
1098	0.499089
1099	0.498635
1100	0.499091
1101	0.498638
1102	0.499093
1103	0.499547
1104	0.5
1105	0.500452
1106	0.5
1107	0.499548
1108	0.5
1109	0.500451
1110	0.500901
1111	0.50135
1112	0.501799
1113	0.502246
1114	0.501795
1115	0.501345
1116	0.500896
1117	0.500448
1118	0.500894
1119	0.500447
1120	0.5
1121	0.499554
1122	0.5
1123	0.500445
1124	0.50089
1125	0.501333
1126	0.501776
1127	0.501331
1128	0.500887
1129	0.501329
1130	0.50177
1131	0.501326
1132	0.500883
1133	0.500441
1134	0.5
1135	0.499559
1136	0.49912
1137	0.49956
1138	0.5
1139	0.499561
1140	0.499123
1141	0.499562
1142	0.499124
1143	0.498688
1144	0.498252
1145	0.497817
1146	0.497382
1147	0.49782
1148	0.498258
1149	0.497824
1150	0.498261
1151	0.498697
1152	0.498264
1153	0.497832
1154	0.4974
1155	0.49697
1156	0.49654
1157	0.496111
1158	0.495682
1159	0.496117
1160	0.49569
1161	0.495263
1162	0.495697
1163	0.495271
1164	0.495704
1165	0.495279
1166	0.494854
1167	0.495287
1168	0.495719
1169	0.495295
1170	0.495726
1171	0.496157
1172	0.495734
1173	0.495311
1174	0.494889
1175	0.494468
1176	0.494048
1177	0.494477
1178	0.494907
1179	0.495335
1180	0.495763
1181	0.495343
1182	0.494924
1183	0.495351
1184	0.495777
1185	0.495359
1186	0.494941
1187	0.495366
1188	0.495791
1189	0.495374
1190	0.494958
1191	0.494542
1192	0.494128
1193	0.493713
1194	0.4933
1195	0.493724
1196	0.494147
1197	0.493734
1198	0.493322
1199	0.492911
1200	0.493333
1201	0.492923
1202	0.492512
1203	0.492103
1204	0.492525
1205	0.492116
1206	0.491708
1207	0.492129
1208	0.491722
1209	0.491315
1210	0.490909
1211	0.491329
1212	0.491749
1213	0.492168
1214	0.491763
1215	0.492181
1216	0.491776
1217	0.492194
1218	0.49179
1219	0.492207
1220	0.491803
1221	0.4914
1222	0.490998
1223	0.490597
1224	0.491013
1225	0.490612
1226	0.490212
1227	0.490628
1228	0.490228
1229	0.489829
1230	0.489431
1231	0.489033
1232	0.488636
1233	0.48824
1234	0.487844
1235	0.488259
1236	0.487864
1237	0.48747
1238	0.487076
1239	0.486683
1240	0.487097
1241	0.486704
1242	0.487118
1243	0.48753
1244	0.487138
1245	0.48755
1246	0.487961
1247	0.48757
1248	0.487981
1249	0.48759
1250	0.488
1251	0.488409
1252	0.488818
1253	0.489226
1254	0.488836
1255	0.488446
1256	0.488854
1257	0.488465
1258	0.488871
1259	0.489277
1260	0.488889
1261	0.488501
1262	0.488114
1263	0.487728
1264	0.487342
1265	0.487747
1266	0.488152
1267	0.488556
1268	0.488959
1269	0.489362
1270	0.489764
1271	0.489378
1272	0.48978
1273	0.489395
1274	0.489011
1275	0.489412
1276	0.489812
1277	0.489428
1278	0.489045
1279	0.489445
1280	0.489063
1281	0.488681
1282	0.48908
1283	0.488698
1284	0.489097
1285	0.489494
1286	0.489114
1287	0.488733
1288	0.488354
1289	0.488751
1290	0.489147
1291	0.489543
1292	0.489164
1293	0.489559
1294	0.489954
1295	0.489575
1296	0.489969
1297	0.490362
1298	0.490755
1299	0.491147
1300	0.490769
1301	0.490392
1302	0.490783
1303	0.490407
1304	0.490031
1305	0.489655
1306	0.490046
1307	0.490436
1308	0.490061
1309	0.489687
1310	0.489313
1311	0.48894
1312	0.489329
1313	0.488957
1314	0.489346
1315	0.488973
1316	0.488602
1317	0.48899
1318	0.488619
1319	0.488249
1320	0.488636
1321	0.488266
1322	0.487897
1323	0.487528
1324	0.487915
1325	0.488302
1326	0.488688
1327	0.48832
1328	0.488705
1329	0.488337
1330	0.488722
1331	0.489106
1332	0.489489
1333	0.489122
1334	0.489505
1335	0.489888
1336	0.489521
1337	0.489155
1338	0.488789
1339	0.488424
1340	0.48806
1341	0.487696
1342	0.487332
1343	0.486969
1344	0.486607
1345	0.486245
1346	0.486627
1347	0.486266
1348	0.486647
1349	0.486286
1350	0.485926
1351	0.485566
1352	0.485207
1353	0.484848
1354	0.48449
1355	0.484871
1356	0.484513
1357	0.484893
1358	0.485272
1359	0.484915
1360	0.484559
1361	0.484203
1362	0.483847
1363	0.484226
1364	0.484604
1365	0.484249
1366	0.483895
1367	0.483541
1368	0.483918
1369	0.484295
1370	0.484672
1371	0.485047
1372	0.484694
1373	0.485069
1374	0.484716
1375	0.485091
1376	0.484738
1377	0.484386
1378	0.484035
1379	0.483684
1380	0.483333
1381	0.482983
1382	0.482634
1383	0.482285
1384	0.481936
1385	0.48231
1386	0.481962
1387	0.481615
1388	0.481988
1389	0.481641
1390	0.482014
1391	0.481668
1392	0.481322
1393	0.481694
1394	0.482066
1395	0.482437
1396	0.482092
1397	0.481747
1398	0.481402
1399	0.481773
1400	0.482143
1401	0.482512
1402	0.482882
1403	0.482537
1404	0.482194
1405	0.481851
1406	0.481508
1407	0.481166
1408	0.480824
1409	0.481192
1410	0.48156
1411	0.481928
1412	0.482295
1413	0.481953
1414	0.481612
1415	0.481979
1416	0.481638
1417	0.482004
1418	0.48237
1419	0.48203
1420	0.48169
1421	0.481351
1422	0.481013
1423	0.481377
1424	0.481742
1425	0.482105
1426	0.482468
1427	0.482831
1428	0.482493
1429	0.482155
1430	0.481818
1431	0.48218
1432	0.482542
1433	0.482903
1434	0.482566
1435	0.48223
1436	0.482591
1437	0.482255
1438	0.482615
1439	0.482974
1440	0.482639
1441	0.482304
1442	0.482663
1443	0.482328
1444	0.481994
1445	0.482353
1446	0.482711
1447	0.482377
1448	0.482735
1449	0.483092
1450	0.482759
1451	0.482426
1452	0.482094
1453	0.481762
1454	0.482118
1455	0.482474
1456	0.48283
1457	0.482498
1458	0.482167
1459	0.481837
1460	0.482192
1461	0.482546
1462	0.4829
1463	0.48257
1464	0.482923
1465	0.483276
1466	0.483629
1467	0.483299
1468	0.48297
1469	0.483322
1470	0.482993
1471	0.483345
1472	0.483696
1473	0.484046
1474	0.483718
1475	0.484068
1476	0.484417
1477	0.484766
1478	0.485115
1479	0.484787
1480	0.484459
1481	0.484132
1482	0.48448
1483	0.484154
1484	0.484501
1485	0.484848
1486	0.485195
1487	0.484869
1488	0.484543
1489	0.484889
1490	0.485235
1491	0.48558
1492	0.485255
1493	0.48493
