block	integral	prog_ave	err
0	-0.44721	-0.44721	0
1	-0.449146	-0.448178	0.000684648
2	-0.429641	-0.441999	0.00506575
3	-0.433746	-0.439936	0.00419855
4	-0.422967	-0.436542	0.00452723
5	-0.434645	-0.436226	0.00378371
6	-0.421741	-0.434157	0.00376678
7	-0.424251	-0.432918	0.00349351
8	-0.442201	-0.43395	0.00325403
9	-0.425766	-0.433131	0.00302978
10	-0.418942	-0.431842	0.00301647
11	-0.427839	-0.431508	0.00278347
12	-0.426767	-0.431143	0.00259315
13	-0.444686	-0.432111	0.00258205
14	-0.426703	-0.43175	0.00243496
15	-0.430989	-0.431703	0.00228324
16	-0.437945	-0.43207	0.00217826
17	-0.403072	-0.430459	0.00258522
18	-0.436757	-0.43079	0.00247032
19	-0.434555	-0.430978	0.00235396
20	-0.425976	-0.43074	0.00225389
21	-0.43042	-0.430726	0.00215149
22	-0.43852	-0.431065	0.00208446
23	-0.430188	-0.431028	0.00199793
24	-0.436371	-0.431242	0.00192941
25	-0.42406	-0.430966	0.00187487
26	-0.446486	-0.43154	0.0018915
27	-0.414876	-0.430945	0.00191528
28	-0.436373	-0.431132	0.00185836
29	-0.441426	-0.431476	0.00182782
30	-0.439337	-0.431729	0.00178636
31	-0.425435	-0.431532	0.00174133
32	-0.439228	-0.431766	0.00170411
33	-0.439967	-0.432007	0.00167097
34	-0.423078	-0.431752	0.00164259
35	-0.424211	-0.431542	0.00161026
36	-0.429966	-0.4315	0.0015673
37	-0.446166	-0.431886	0.00157286
38	-0.437762	-0.432036	0.00153973
39	-0.4355	-0.432123	0.00150367
40	-0.437127	-0.432245	0.00147194
41	-0.422387	-0.43201	0.00145549
42	-0.432379	-0.432019	0.00142166
43	-0.435008	-0.432087	0.00139097
44	-0.428878	-0.432015	0.00136189
45	-0.42193	-0.431796	0.00134982
46	-0.434723	-0.431858	0.00132253
47	-0.442424	-0.432079	0.00131317
48	-0.423187	-0.431897	0.00129885
49	-0.420066	-0.43166	0.00129425
