x	y	z	r
-2.10961	-0.24362	-3.96342	4.4965
-2.10961	-0.24362	-3.96342	4.4965
-2.02114	0.382768	-5.28306	5.66941
-4.20753	-2.06664	-4.15508	6.2641
-4.20753	-2.06664	-4.15508	6.2641
-1.54052	-2.09922	-1.65332	3.08438
-1.54052	-2.09922	-1.65332	3.08438
-1.54052	-2.09922	-1.65332	3.08438
-0.707036	-2.07113	-4.43226	4.94312
1.4156	-0.328995	-4.78726	5.003
1.59769	1.14895	-5.32875	5.68052
1.954	-1.399	-5.35045	5.86538
-0.196455	-0.475399	-6.54079	6.56099
0.0735016	0.780041	-3.80749	3.88727
0.0735016	0.780041	-3.80749	3.88727
-0.725972	2.61931	-3.08169	4.10909
-2.36927	0.39518	-1.78391	2.99198
-2.08305	-0.165671	-1.86276	2.79936
-2.08305	-0.165671	-1.86276	2.79936
0.364841	1.83468	-1.22134	2.23402
2.17465	0.804429	1.59023	2.81159
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
0.505326	1.84966	2.51157	3.15984
-2.35036	-0.929564	2.6719	3.67795
-2.35036	-0.929564	2.6719	3.67795
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.97937	-1.83206	3.63825	4.52893
-1.50836	-1.67947	2.94678	3.71205
-0.114502	-1.60737	3.03909	3.43988
1.52213	0.293787	1.79143	2.36905
1.52213	0.293787	1.79143	2.36905
1.52213	0.293787	1.79143	2.36905
2.61163	-1.77587	2.12644	3.80737
2.61163	-1.77587	2.12644	3.80737
2.61163	-1.77587	2.12644	3.80737
2.61163	-1.77587	2.12644	3.80737
1.60607	-2.38538	4.17527	5.06975
1.60607	-2.38538	4.17527	5.06975
0.221328	-3.62816	3.07412	4.76054
0.221328	-3.62816	3.07412	4.76054
3.11222	-1.88333	4.75023	5.9831
3.11222	-1.88333	4.75023	5.9831
-0.0726053	-2.32294	5.34323	5.82678
-0.0726053	-2.32294	5.34323	5.82678
-2.45901	-5.15659	4.52421	7.28736
-0.424337	-6.13404	5.63603	8.34095
-0.424337	-6.13404	5.63603	8.34095
0.57499	-8.22002	6.74562	10.6491
1.98529	-7.76647	6.26922	10.1766
2.49855	-5.46595	5.29828	8.01194
2.49855	-5.46595	5.29828	8.01194
3.45219	-3.42327	2.63227	5.52858
3.45219	-3.42327	2.63227	5.52858
4.39258	-2.18964	3.57127	6.06986
4.39258	-2.18964	3.57127	6.06986
4.39258	-2.18964	3.57127	6.06986
1.28921	-0.866254	2.73027	3.14115
-0.843356	-2.29173	5.77511	6.27018
-2.65798	-0.492522	6.46917	7.01125
-0.827707	1.10487	3.73503	3.98199
-0.827707	1.10487	3.73503	3.98199
-0.827707	1.10487	3.73503	3.98199
-0.827707	1.10487	3.73503	3.98199
-1.28342	-1.96176	3.44293	4.16527
-1.28342	-1.96176	3.44293	4.16527
-1.28342	-1.96176	3.44293	4.16527
0.862616	0.697602	2.54226	2.77378
0.862616	0.697602	2.54226	2.77378
0.862616	0.697602	2.54226	2.77378
0.198722	-0.967661	4.20439	4.31888
0.198722	-0.967661	4.20439	4.31888
0.198722	-0.967661	4.20439	4.31888
0.198722	-0.967661	4.20439	4.31888
2.22128	0.206256	1.48783	2.68147
2.22128	0.206256	1.48783	2.68147
2.22128	0.206256	1.48783	2.68147
2.22128	0.206256	1.48783	2.68147
2.22128	0.206256	1.48783	2.68147
2.22128	0.206256	1.48783	2.68147
-0.680548	-0.161833	4.60035	4.65323
-1.77207	-0.551919	5.72866	6.02183
0.275951	1.85055	7.15768	7.39818
1.88742	3.34966	4.69645	6.06953
3.32279	4.30562	6.18218	8.23399
3.32279	4.30562	6.18218	8.23399
4.93291	2.49643	4.01411	6.83219
2.14585	-0.456344	5.24726	5.68742
1.52566	-1.78313	2.21822	3.22919
1.39529	-1.61127	4.82879	5.27828
3.31221	-2.16092	4.60864	6.07288
3.31221	-2.16092	4.60864	6.07288
0.614938	0.28948	5.63232	5.67318
2.67309	-2.63745	2.81076	4.69063
0.509872	-3.0265	2.59821	4.02124
0.509872	-3.0265	2.59821	4.02124
0.509872	-3.0265	2.59821	4.02124
2.96373	-1.75119	3.18991	4.69318
0.273245	1.16605	4.29971	4.46339
0.273245	1.16605	4.29971	4.46339
0.273245	1.16605	4.29971	4.46339
0.273245	1.16605	4.29971	4.46339
1.10358	0.0494883	6.51154	6.60458
3.63319	1.17892	5.7438	6.89791
