x	y	z	r
26.4419	27.4235	27.9832	47.2682
25.6355	27.7699	27.5368	46.7613
25.7367	28.2407	28.5618	47.7042
25.1045	27.5774	28.108	46.6991
25.1045	27.5774	28.108	46.6991
24.4882	26.7434	28.5947	46.1794
24.5956	26.5331	28.5651	46.0968
24.3368	27.3029	29.3068	46.8681
24.3368	27.3029	29.3068	46.8681
24.3368	27.3029	29.3068	46.8681
23.7108	27.6949	29.6523	46.9943
23.7108	27.6949	29.6523	46.9943
24.4052	26.6775	30.3412	47.2006
24.5968	27.0251	29.8287	47.171
24.0914	26.1684	28.769	45.7475
23.1717	26.2616	29.525	45.8074
24.1514	25.8981	28.5665	45.4977
25.1909	25.2216	27.8925	45.2626
24.4152	24.0229	27.8705	44.1584
23.2801	23.8263	29.0032	44.1683
23.97	23.9955	27.8957	43.9149
23.97	23.9955	27.8957	43.9149
22.8992	22.9533	27.9558	42.8107
22.2614	23.2969	27.4806	42.3497
22.4005	22.9585	27.843	42.4748
22.7147	21.9402	28.1163	42.283
22.5635	22.0252	27.1223	41.5914
21.425	21.9046	27.6708	41.2857
21.7428	20.9535	28.3942	41.4491
22.7815	20.039	29.4607	42.2905
21.5951	20.3063	28.7701	41.3088
21.4176	19.3467	28.7688	40.7512
20.519	20.0562	28.2817	40.2881
20.6956	20.1134	28.0224	40.2258
21.2183	20.1404	28.057	40.5345
21.8321	20.8534	27.5891	40.8982
21.8321	20.8534	27.5891	40.8982
21.1782	22.0336	26.9233	40.7291
21.5868	21.2575	27.049	40.6142
22.0085	20.712	26.0943	39.9283
21.9753	20.542	25.5344	39.4575
21.9753	20.542	25.5344	39.4575
21.5982	20.3134	26.3027	39.6352
21.8637	20.4236	25.1461	39.0829
21.3444	19.9576	24.7331	38.2834
21.7515	19.1249	24.2217	37.7569
21.7515	19.1249	24.2217	37.7569
21.7515	19.1249	24.2217	37.7569
20.5572	18.96	24.4441	37.1429
20.5572	18.96	24.4441	37.1429
19.6623	17.8974	24.1369	35.9098
19.6623	17.8974	24.1369	35.9098
19.444	18.0265	24.9751	36.425
19.8187	17.2442	25.3912	36.5357
20.3476	17.4143	25.2126	36.7826
20.5401	18.277	24.8485	37.0593
20.5401	18.277	24.8485	37.0593
20.8977	19.043	23.8487	36.988
21.0607	18.5926	24.1803	37.0665
21.0607	18.5926	24.1803	37.0665
22.1624	17.5651	24.9397	37.7054
22.1624	17.5651	24.9397	37.7054
20.9986	18.0614	24.6244	37.061
20.9986	18.0614	24.6244	37.061
20.3181	18.7361	24.8846	37.1902
21.0045	19.3351	23.8593	37.2062
19.9749	18.8477	23.9866	36.4635
19.9749	18.8477	23.9866	36.4635
19.1512	17.9424	24.2913	35.7598
18.9803	16.7924	24.1818	35.0285
19.1119	17.0651	23.017	34.4422
19.8616	16.1273	22.7704	34.25
19.8616	16.1273	22.7704	34.25
19.4295	15.1847	21.9663	33.0242
19.351	16.055	21.0953	32.8212
19.102	15.4305	21.7186	32.7824
18.0171	14.2572	21.3433	31.3595
17.5036	13.3229	20.4011	30.0013
16.8007	13.343	19.328	28.8768
17.5591	13.7832	18.3093	28.871
17.5591	13.7832	18.3093	28.871
18.0222	12.8009	18.4439	28.7895
19.074	12.8591	17.99	29.203
19.074	12.8591	17.99	29.203
19.4893	12.4331	17.3755	28.9192
18.4011	12.295	18.5427	28.8721
17.9918	12.1488	18.9658	28.827
17.9918	12.1488	18.9658	28.827
18.5961	12.7109	18.0429	28.8605
18.5961	12.7109	18.0429	28.8605
18.5961	12.7109	18.0429	28.8605
19.1999	12.0325	17.2298	28.4655
18.1547	10.9252	17.6923	27.6038
17.9221	10.4276	16.5564	26.534
17.9221	10.4276	16.5564	26.534
17.9221	10.4276	16.5564	26.534
17.9221	10.4276	16.5564	26.534
16.9107	11.3465	16.9403	26.4894
