ntrain	epoch	loss
300.0	0	1.0886476039886475
300.0	1	0.773530125617981
300.0	2	0.5573807954788208
300.0	3	0.4060060381889343
300.0	4	0.3000090420246124
300.0	5	0.22868333756923676
300.0	6	0.1768648475408554
300.0	7	0.13869649171829224
300.0	8	0.11052680015563965
300.0	9	0.08973977714776993
300.0	10	0.07340477406978607
300.0	11	0.06097514554858208
300.0	12	0.051200125366449356
300.0	13	0.0432884655892849
300.0	14	0.03693266212940216
300.0	15	0.031736575067043304
300.0	16	0.027242915704846382
300.0	17	0.023579498752951622
300.0	18	0.02045120671391487
300.0	19	0.0177424568682909
300.0	20	0.015377416275441647
300.0	21	0.013373791240155697
300.0	22	0.011669096536934376
300.0	23	0.010159285739064217
300.0	24	0.008843867108225822
300.0	25	0.007686397060751915
300.0	26	0.006718723103404045
300.0	27	0.005870788358151913
300.0	28	0.005138256587088108
300.0	29	0.004498886875808239
300.0	30	0.0039265891537070274
300.0	31	0.003434424288570881
300.0	32	0.0030041858553886414
300.0	33	0.002629498951137066
300.0	34	0.002294870326295495
300.0	35	0.0020053028129041195
300.0	36	0.001757293939590454
300.0	37	0.0015364495338872075
300.0	38	0.001344852615147829
300.0	39	0.0011789603158831596
300.0	40	0.0010288937482982874
300.0	41	0.000896474695764482
300.0	42	0.000784102885518223
300.0	43	0.0006865335744805634
300.0	44	0.0006011321092955768
300.0	45	0.0005265159998089075
300.0	46	0.00045923521975055337
300.0	47	0.00040148195694200695
300.0	48	0.0003509505477268249
300.0	49	0.0003073035040870309
300.0	50	0.00026784048532135785
300.0	51	0.0002342033840250224
300.0	52	0.0002051647170446813
300.0	53	0.00017894663324113935
300.0	54	0.00015631323913112283
300.0	55	0.00013667014718521386
300.0	56	0.0001192934942082502
300.0	57	0.00010381395986769348
300.0	58	9.044637408806011e-05
300.0	59	7.884272781666368e-05
300.0	60	6.878860585857183e-05
300.0	61	6.003678936394863e-05
300.0	62	5.2606294048018754e-05
300.0	63	4.58307949884329e-05
300.0	64	4.012201679870486e-05
300.0	65	3.519603706081398e-05
300.0	66	3.0640847398899496e-05
300.0	67	2.6767920644488186e-05
300.0	68	2.3457358111045323e-05
300.0	69	2.0470070012379438e-05
390.0	0	0.8430088758468628
390.0	1	0.5069478154182434
390.0	2	0.30786964297294617
390.0	3	0.18939150869846344
390.0	4	0.1172436848282814
390.0	5	0.07449381053447723
390.0	6	0.0484296977519989
390.0	7	0.032412536442279816
390.0	8	0.022088496014475822
390.0	9	0.015358167700469494
390.0	10	0.011054535396397114
390.0	11	0.008181016892194748
390.0	12	0.006207739934325218
390.0	13	0.0048656826838850975
390.0	14	0.003930737264454365
390.0	15	0.0031440872699022293
390.0	16	0.0025861274916678667
390.0	17	0.0021253791637718678
390.0	18	0.0017627491615712643
390.0	19	0.0014780587516725063
390.0	20	0.00122639921028167
390.0	21	0.0010298731504008174
390.0	22	0.0008670821553096175
390.0	23	0.0007299411809071898
390.0	24	0.0006121587357483804
390.0	25	0.0005159397260285914
390.0	26	0.0004328600480221212
390.0	27	0.0003646155819296837
390.0	28	0.00030743074603378773
390.0	29	0.0002583879977464676
390.0	30	0.00021820511028636247
390.0	31	0.000183867261512205
390.0	32	0.00015422370051965117
390.0	33	0.00012957656872458756
390.0	34	0.00010912091966019943
390.0	35	9.213606972480193e-05
390.0	36	7.75387670728378e-05
390.0	37	6.545416545122862e-05
390.0	38	5.500020051840693e-05
390.0	39	4.632399941328913e-05
390.0	40	3.910542727680877e-05
390.0	41	3.2938365620793775e-05
390.0	42	2.754536944848951e-05
390.0	43	2.3260607122210786e-05
390.0	44	1.966503623407334e-05
390.0	45	1.6562284145038575e-05
390.0	46	1.3953297639091033e-05
390.0	47	1.1718728273990564e-05
390.0	48	9.878473065327853e-06
390.0	49	8.327345312864054e-06
390.0	50	6.987937922531273e-06
390.0	51	5.866040282853646e-06
390.0	52	4.927812369714957e-06
390.0	53	4.148072548559867e-06
390.0	54	3.4968759337061783e-06
390.0	55	2.946093218270107e-06
390.0	56	2.4836153897922486e-06
390.0	57	2.080304739138228e-06
390.0	58	1.7571246644365601e-06
390.0	59	1.487583176640328e-06
390.0	60	1.2388824188747094e-06
390.0	61	1.0369871006332687e-06
390.0	62	8.737081316212425e-07
390.0	63	7.319882797673927e-07
390.0	64	6.18229819338012e-07
390.0	65	5.223162702350237e-07
390.0	66	4.3576625330388197e-07
390.0	67	3.6928355484633357e-07
390.0	68	3.1051249038682727e-07
390.0	69	2.61003492596501e-07
480.0	0	1.3254237174987793
480.0	1	0.8753990530967712
480.0	2	0.601453423500061
480.0	3	0.4288589656352997
480.0	4	0.3158029615879059
480.0	5	0.23873929679393768
480.0	6	0.18443423509597778
480.0	7	0.14471006393432617
480.0	8	0.11473284661769867
480.0	9	0.09169269353151321
480.0	10	0.07369374483823776
480.0	11	0.05944463983178139
480.0	12	0.04807047173380852
480.0	13	0.03894820064306259
480.0	14	0.03160295635461807
480.0	15	0.02565591409802437
480.0	16	0.020830277353525162
480.0	17	0.01692621037364006
480.0	18	0.013750076293945312
480.0	19	0.011175936087965965
480.0	20	0.009089733473956585
480.0	21	0.0073869358748197556
480.0	22	0.006004189141094685
480.0	23	0.004884095396846533
480.0	24	0.003971696365624666
480.0	25	0.0032277798745781183
480.0	26	0.002624214394018054
480.0	27	0.0021343084517866373
480.0	28	0.0017350366106256843
480.0	29	0.0014112107455730438
480.0	30	0.0011470078025013208
480.0	31	0.0009325792198069394
480.0	32	0.0007579845259897411
480.0	33	0.0006161063793115318
480.0	34	0.0005012339097447693
480.0	35	0.0004074391326867044
480.0	36	0.0003314359928481281
480.0	37	0.0002693099668249488
480.0	38	0.0002190927043557167
480.0	39	0.0001781268510967493
480.0	40	0.00014482256665360183
480.0	41	0.00011773090955102816
480.0	42	9.570283145876601e-05
480.0	43	7.7811062510591e-05
480.0	44	6.325898721115664e-05
480.0	45	5.1452774641802534e-05
480.0	46	4.182238626526669e-05
480.0	47	3.400210334802978e-05
480.0	48	2.764771670626942e-05
480.0	49	2.248831879114732e-05
480.0	50	1.827948472055141e-05
480.0	51	1.4862771422485821e-05
480.0	52	1.2086733477190137e-05
480.0	53	9.825249435380101e-06
480.0	54	7.987885510374326e-06
480.0	55	6.496066362160491e-06
480.0	56	5.28049986314727e-06
480.0	57	4.296769020584179e-06
480.0	58	3.4907504868897377e-06
480.0	59	2.8383715289237443e-06
480.0	60	2.3075888293533353e-06
480.0	61	1.8760287048280588e-06
480.0	62	1.526585265310132e-06
480.0	63	1.2408589782353374e-06
480.0	64	1.0093965556734474e-06
480.0	65	8.201541845664906e-07
480.0	66	6.668952892141533e-07
480.0	67	5.424830646916234e-07
480.0	68	4.408833831348602e-07
480.0	69	3.584657974897709e-07
570.0	0	3.740631341934204
570.0	1	2.717320680618286
570.0	2	2.024305820465088
570.0	3	1.5356810092926025
570.0	4	1.1771188974380493
570.0	5	0.9096307158470154
570.0	6	0.7065209150314331
570.0	7	0.5493585467338562
570.0	8	0.42844414710998535
570.0	9	0.33449026942253113
570.0	10	0.261395663022995
570.0	11	0.20416322350502014
570.0	12	0.15963774919509888
570.0	13	0.1247665137052536
570.0	14	0.09762144833803177
570.0	15	0.07631204277276993
570.0	16	0.05970343202352524
570.0	17	0.04671401157975197
570.0	18	0.036556925624608994
570.0	19	0.028599020093679428
570.0	20	0.022383246570825577
570.0	21	0.017506564036011696
570.0	22	0.013699579052627087
570.0	23	0.010706765577197075
570.0	24	0.008379488252103329
570.0	25	0.006556025240570307
570.0	26	0.005133010447025299
570.0	27	0.004015397746115923
570.0	28	0.003141217865049839
570.0	29	0.00246117333881557
570.0	30	0.0019238507375121117
570.0	31	0.0015061197336763144
570.0	32	0.0011782449437305331
570.0	33	0.0009222113294526935
570.0	34	0.0007213802891783416
570.0	35	0.0005647950456477702
